sample,purity_plus,ploidy_plus,cnh_plus
TCGA-AG-A00H-01A-01D-A008-01,1,2.77,0.171958481936051
TCGA-AF-3400-01A-01D-1549-01,1,1.96,0.11689316206572
TCGA-AG-3594-01A-02D-0819-01,1,2.94,0.0431500597723017
TCGA-AF-2692-01A-01D-0819-01,1,3.61,0.135044367745989
TCGA-EI-7004-01A-11D-1923-01,1,4.88,0.0824667707150172
TCGA-AH-6644-01A-21D-1825-01,1,3.19,0.163934253350359
TCGA-AH-6897-01A-11D-1923-01,1,4.18,0.0766876121941045
TCGA-CI-6619-01B-11D-1825-01,1,2.05,0.143743245856012
TCGA-G5-6235-01A-11D-1732-01,1,2.05,0.11007474390075
TCGA-AF-6655-01A-11D-1825-01,1,4.26,0.101385008548305
TCGA-DC-6683-01A-11D-1825-01,1,5,0.139156262556306
TCGA-AG-3598-01A-01D-0824-01,1,2,0.0340507037404355
TCGA-AG-A011-01A-01D-A003-01,1,2.87,0.0720274565009013
TCGA-AG-A01N-01A-01D-A008-01,0.96,4.51,0.126329929042961
TCGA-EI-6508-01A-11D-1732-01,1,1.9,0.0772553638497547
TCGA-F5-6814-01A-31D-1923-01,1,1.98,0.0696680776816864
TCGA-G5-6572-01A-11D-1825-01,0.99,3.14,0.0718066081857002
TCGA-EI-6882-01A-11D-1923-01,0.92,2.01,0.0243109842161096
TCGA-AG-3612-01A-01D-0824-01,1,2.24,0.152182431877309
TCGA-EI-6511-01A-11D-1732-01,1,3,0.0968383239563386
TCGA-AF-2690-01A-02D-1732-01,1,2,0.182687136926016
TCGA-BM-6198-01A-11D-1732-01,0.99,2.58,0.119900212437433
TCGA-EI-6513-01A-21D-1732-01,1,4.66,0.0742514504014942
TCGA-AG-3731-01A-11D-1732-01,1,1.99,0.128980864993509
TCGA-EI-6510-01A-11D-1732-01,1,3.19,0.104410746665252
TCGA-AG-3600-01A-01D-0824-01,1,2.65,0.11096694938554
TCGA-AG-3575-01A-01D-0819-01,0.95,4.77,0.063858016302323
TCGA-AG-3999-01A-01D-1428-01,1,4.92,0.114057334947121
TCGA-F5-6861-01A-11D-1923-01,1,4.02,0.0377137382102389
TCGA-AG-3885-01A-01D-0903-01,1,4.16,0.138595636305269
TCGA-AG-3592-01A-02D-1732-01,1,4.26,0.133520002884577
TCGA-AG-A016-01A-01D-A003-01,1,2.27,0.095883760435435
TCGA-AG-A00Y-01A-02D-A003-01,1,1.88,0.14849552690704
TCGA-AG-3586-01A-02D-0819-01,1,2.99,0.0551413102986369
TCGA-EI-6881-01A-11D-1923-01,1,2.81,0.151232600124711
TCGA-CL-5917-01A-11D-1656-01,1,3.3,0.10817018427093
TCGA-AG-4001-01A-02D-1428-01,1,2.18,0.19428785284008
TCGA-DY-A1DG-01A-11D-A151-01,1,2.83,0.111764200918118
TCGA-F5-6813-01A-11D-1825-01,1,3.93,0.0783520614687501
TCGA-AF-3913-01A-02D-1428-01,1,4.35,0.142829093805601
TCGA-AG-A014-01A-02D-A003-01,1,3.38,0.119767356955768
TCGA-AG-3583-01A-01D-0819-01,0.94,4.75,0.0739540307193368
TCGA-AF-2691-01A-01D-1549-01,1,1.97,0.126893598744842
TCGA-CI-6622-01A-11D-1825-01,0.94,3,0.0320950112724271
