Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B08_808642	1	61735	718663	37	0.1001
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B08_808642	1	723317	25583341	14115	-0.3436
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B08_808642	1	25593128	25646946	27	0.1759
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B08_808642	1	25646986	34225316	4285	-0.342
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B08_808642	1	34225784	34346657	118	0.0569
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B08_808642	1	34347106	34392604	34	-0.3403
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B08_808642	1	34394259	34656384	191	0.0146
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B08_808642	1	34656812	34657303	2	-2.1143
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B08_808642	1	34661652	72768498	24211	0.0177
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B08_808642	1	72768916	72811148	46	1.2948
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B08_808642	1	72811904	104157161	20080	-9e-04
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B08_808642	1	104157317	104303403	33	0.4063
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B08_808642	1	104303501	106013376	918	-0.0264
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B08_808642	1	106019205	106022375	17	0.6122
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B08_808642	1	106024055	110227515	2670	0.0056
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B08_808642	1	110232974	110240178	17	-0.9419
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B08_808642	1	110242953	149548713	8528	0.0145
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B08_808642	1	149548726	149617451	3	1.3961
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B08_808642	1	149617488	152756774	1692	-0.0038
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B08_808642	1	152756806	152773905	41	0.561
