Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G03_831478	1	61735	235728	26	0.3457
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G03_831478	1	235938	1510801	200	-0.1721
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G03_831478	1	1627918	1672603	17	-1.9443
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G03_831478	1	1687587	5038051	1774	-0.1105
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G03_831478	1	5039093	5039380	2	-1.4541
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G03_831478	1	5042202	9489972	2786	-0.0625
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G03_831478	1	9490339	9494466	2	-1.7082
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G03_831478	1	9498113	16830820	3903	-0.053
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G03_831478	1	16831863	16970392	46	0.2618
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G03_831478	1	16970456	17056457	40	-0.2099
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G03_831478	1	17076467	17195155	25	0.2211
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G03_831478	1	17203497	17284920	65	-0.4656
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G03_831478	1	17286210	25583341	5259	-0.0551
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G03_831478	1	25593128	25662005	30	0.4092
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G03_831478	1	25662212	37884291	6470	-0.0584
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G03_831478	1	37885161	37920683	17	-0.4822
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G03_831478	1	37921043	72750353	22320	-0.0913
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G03_831478	1	72756113	72763370	9	-2.1336
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G03_831478	1	72768418	72811148	48	0.5811
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G03_831478	1	72811904	73199463	279	-0.2393
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G03_831478	1	73201995	73206702	4	-2.0766
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G03_831478	1	73209052	121355881	30575	-0.1657
