Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	1	61735	15126736	7678	-0.3225
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	1	15127743	15141987	12	-1.5126
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	1	15144776	17087292	1086	-0.2488
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	1	17089349	17190862	20	0.3642
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	1	17195155	22496703	3506	-0.2831
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	1	22501716	22504272	3	-2.2506
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	1	22507423	25583341	1809	-0.2858
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	1	25593128	25663310	32	0.5095
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	1	25663344	62275920	21534	-0.2957
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	1	62279594	62285367	8	-1.5635
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	1	62288311	72750353	7246	-0.2717
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	1	72756113	72763370	9	-1.9388
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	1	72768418	72810938	45	0.1961
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	1	72811076	110226378	23685	-0.3006
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	1	110226487	110227515	7	0.2007
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	1	110232974	110240178	17	-1.9148
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	1	110242953	112690326	1953	-0.2841
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	1	112695965	112706128	31	0.3204
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	1	112706140	120527361	5042	-0.2739
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	1	120527395	121130963	49	0.0938
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	1	121155528	121355881	77	-0.2696
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	1	121436219	144885044	81	0.4516
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	1	144887375	144949070	50	0.0528
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	1	144949975	152555527	2727	0.4638
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	1	152555706	152586540	33	-2.4131
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	1	152586576	152761923	174	0.3905
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	1	152761939	152767864	26	1.3359
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	1	152767884	158866573	3634	0.4385
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	1	158868501	158869759	2	-1.3569
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	1	158874818	160146173	844	0.4514
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	1	160146494	160146943	4	-0.9352
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	1	160148671	164414724	3038	0.4292
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	1	164414741	164415114	3	-1.4792
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	1	164418405	169216937	3832	0.4529
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	1	169233974	169241766	7	-0.6438
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	1	169242401	189022973	13045	0.4228
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	1	189027223	189030344	6	-1.3478
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	1	189032480	199111363	6638	0.4001
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	1	199111426	199113840	8	-1.4265
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	1	199114238	243059761	30767	0.4316
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	1	243059763	243085890	23	-0.183
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	1	243087106	249224388	3797	0.4439
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	2	12784	4216420	2991	0.1847
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	2	4216452	4219939	22	0.7337
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	2	4219943	18888963	11164	0.2403
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	2	18892845	19416992	347	-0.7285
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	2	19421822	29691787	6190	0.2467
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	2	29691946	29691960	2	-1.212
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	2	29692222	30420830	576	0.2075
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	2	30426596	30427310	2	-2.0224
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	2	30432115	32303440	1172	0.2054
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	2	32305480	32787600	212	-0.5744
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	2	32800141	34701394	1428	0.227
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	2	34701583	34737057	44	-3.2652
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	2	34737163	35975973	878	0.1996
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	2	35977790	35987916	6	-1.7939
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	2	35987947	52743925	12165	0.2374
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	2	52754468	52781497	37	-0.3514
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	2	52781504	79070173	16982	0.2308
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	2	79075101	79089793	8	-0.6751
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	2	79090250	79581175	418	0.2075
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	2	79585003	79589920	6	-0.7125
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	2	79591277	98118212	6675	0.2489
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	2	98140747	98162189	9	1.4057
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_B04_568896	2	98166878	113382509	8777	0.2206
