Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	61735	2926555	626	-0.1911
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	2931327	2932222	2	-1.654
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	2932446	16869363	8102	-0.2626
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	16871278	17005776	44	-0.7186
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	17005978	17017078	19	0.0321
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	17017530	17262232	102	-0.5705
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	17262247	26804477	5852	-0.2511
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	26805583	26836521	12	0.3035
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	26842966	30737373	1841	-0.2554
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	30738355	30741496	8	-1.19
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	30741656	35091674	2563	-0.2491
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	35102654	35103827	11	-1.7912
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	35103864	35104491	9	-4.5204
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	35114268	42268270	3963	-0.2665
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	42268979	56602308	8264	0.0665
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	56602531	56604150	2	-1.2294
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	56605334	60004914	2786	0.0503
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	60005700	60011126	6	-0.7871
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	60013945	72768916	8859	0.0549
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	72768936	72811904	46	-1.4026
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	72812440	104221531	20106	0.0323
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	104221631	104225568	10	-1.0143
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	104239689	104303403	14	0.5083
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	104303501	106019236	921	0.0337
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	106019310	106024137	19	-0.3964
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	106024798	110227515	2668	0.0502
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	110232974	110234628	11	1.2257
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	110235032	110431020	141	0.0417
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	110431422	110431514	2	-1.3989
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	110433921	111380020	725	0.0186
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	111382479	111392067	19	0.4202
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	111393297	112696087	1080	0.0094
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	112696193	112697213	20	0.5954
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	112697241	115974088	2073	0.0615
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	115985027	115986104	2	-1.2326
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	115990063	145614044	3501	0.0528
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	145625706	146499296	75	0.7539
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	146503537	146854165	249	0.2943
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	146854836	147299238	320	-0.2401
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	147306942	147827821	107	0.313
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	147829226	152555176	1722	0.0503
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	152555527	152586594	36	0.5096
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	152590494	152759678	171	0.0382
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	152761923	152768259	32	0.4954
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	152768281	161404195	5250	0.0353
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	161408556	169216937	6103	-0.2504
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	169233974	169241766	7	-2.4959
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	169242401	177808284	5533	-0.2686
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	177808463	177809560	2	-1.7108
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	177809861	182021662	2913	-0.2583
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	182025566	185254716	2172	0.0505
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	185257718	194448234	6134	-0.2949
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	194451411	194455018	2	-2.3913
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	194457016	199049769	2873	-0.283
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	199050030	199052972	3	0.7726
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	199054044	199111363	52	-0.3148
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	199111426	199113840	8	-1.6111
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	199114238	243854196	31183	-0.2672
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	243860924	243861061	5	-2.2262
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	1	243863108	249224388	3389	-0.2655
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	12784	4914111	3617	0.0143
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	4915059	4916604	5	-1.1548
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	4916795	24606840	14344	0.0198
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	24606954	24620153	35	0.3699
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	24622290	35975973	7057	0.0316
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	35977790	35987916	6	0.9923
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	35987947	37863775	1473	0.0551
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	37864069	37865070	3	-1.1833
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	37865696	40580918	1941	0.0256
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	40581070	40581088	2	-1.2468
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	40583058	41238009	524	-0.0116
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	41238048	41238673	12	0.5686
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	41238810	41616069	290	0.0375
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	41616164	41617746	3	-0.951
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	41617761	43371542	1319	0.0372
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	43371937	43532524	84	-0.2962
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	43538707	46490132	2208	0.0711
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	46490801	46492272	2	-1.5256
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	46492682	46724917	245	0.0277
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	46725501	46725516	2	-1.436
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	46729409	49517511	1772	0.0286
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	49519654	49545041	10	-0.61
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	49545818	49648928	94	0.0672
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	49649433	49664629	12	0.4152
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	49669379	50163508	291	0.0177
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	50169490	50169708	2	-1.5789
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	50170237	52754561	1885	-0.0016
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	52754728	52781397	31	0.8791
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	52781412	79558446	17403	0.0257
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	79559022	79571617	12	-0.5476
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	79571761	79585056	11	-0.0066
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	79588189	79589920	4	-0.8237
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	79591277	79672455	78	-0.0149
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	79674327	79687877	6	-0.8566
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	79689046	81946861	1570	0.0063
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	81949963	81950495	2	-1.3956
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	81953532	86058182	2340	0.0199
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	86061393	86061513	2	-1.4247
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	86062216	86937687	535	0.0743
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	86953070	86953854	2	1.4839
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	86970406	87513287	181	-0.0216
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	87514379	87514390	2	-2.2615
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	87520356	89603924	753	0.0133
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	89604933	91778769	195	-0.4915
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	91786999	132790109	21648	0.0252
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	132797336	132821362	6	-0.7487
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	132836743	133009808	39	0.035
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	133012191	133122139	37	0.3638
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	133123699	146862085	8849	-0.0032
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	146864404	146877806	25	-1.4959
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	146878395	153786444	4204	0.0146
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	153787191	153796784	5	-1.0815
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	153800569	198082707	26667	0.0437
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	198082988	204512294	3541	0.4303
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	204512636	204630692	65	-0.1556
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	204630783	205346483	508	0.4187
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	205346550	206314671	725	0.1063
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	206315691	206415739	64	-0.2796
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	206419018	211240483	2967	0.0986
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	211240500	212577873	926	-0.2568
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	212578924	212693390	71	0.1311
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	212693777	212700080	3	-2.3515
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	212700171	213771549	763	0.202
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	213772256	224988461	7338	-0.2364
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	224988635	225285926	203	0.0584
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	225291960	233227833	4879	-0.216
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	233227851	233242343	27	0.151
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	2	233242357	243089456	6235	-0.218
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	3	60345	7099943	6230	-0.0301
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	3	7101015	7104005	6	-0.6054
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	3	7104272	8270304	1065	0.0405
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	3	8272008	8272203	2	-1.4616
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	3	8272716	8324589	43	0.0197
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	3	8326268	8328967	5	-0.6953
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	3	8330426	17382350	6396	0.0448
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	3	17391252	17437624	26	-0.4001
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	3	17441523	26577480	6288	0.0194
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	3	26577526	26580384	3	-1.3165
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	3	26581146	26601100	11	0.1681
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	3	26601760	26613201	17	-0.3447
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	3	26614974	26614985	8	-0.8929
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	3	26615949	46774776	13171	0.0455
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	3	46775383	46847241	45	0.4053
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	3	46847538	60218579	7730	0.0229
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	3	60218594	60262800	37	-0.7569
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	3	60262943	60388322	123	-1.3435
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	3	60391557	60426817	49	-0.6518
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E08_585332	3	60433224	60499964	85	-0.9781
