Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	61735	4891603	1874	-0.0545
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	4894138	4894144	2	-2.1888
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	4894950	5148722	232	-0.0574
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	5149989	5150460	2	-1.8195
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	5151476	12867966	4446	0.0205
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	12873385	13506877	47	-0.3267
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	13538311	16149343	1817	0.0327
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	16149915	16171036	17	0.5974
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	16176764	17114712	395	0.0643
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	17177045	17262247	66	0.4184
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	17276241	22388905	3383	0.042
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	22389488	22426487	32	0.397
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	22430346	25418699	1740	0.029
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	25423401	25424322	2	-2.1027
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	25424889	25449410	24	-0.0479
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	25452437	25459959	24	0.4847
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	25459973	30724627	2488	0.0216
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	30726574	30739796	17	-0.6078
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	30741496	35526817	2804	0.0245
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	35532356	35899331	159	-0.5554
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	35901222	39128601	1816	0.0101
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	39132430	39132462	5	1.42
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	39135188	48520811	5353	0.0325
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	48521151	48522197	2	-1.728
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	48524180	72768498	16319	0.0245
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	72768916	72811904	47	-1.5558
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	72812440	81611617	5577	-0.0243
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	81614507	81636886	15	-0.5794
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	81639173	81888456	197	-0.0514
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	81888602	81888724	6	-1.5167
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	81888868	98263127	10694	-0.0011
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	98268360	98336001	30	-0.7543
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	98337283	104113539	3552	-0.0145
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	104116349	105373743	608	-0.7099
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	105375361	110227500	3040	-0.0176
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	110227515	110236947	15	-1.1937
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	110239522	152548171	10016	0.0226
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	152548424	152586278	45	0.7279
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	152586540	169216937	11558	0.0116
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	169233974	169241766	7	1.1069
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	169242401	175678378	4204	0.0138
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	175678758	175680596	3	-1.469
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	175680624	177162809	896	0.0042
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	177165146	177165301	2	-2.508
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	177167619	196731610	13110	-0.0072
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	196732086	196759274	37	0.57
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	196759288	196791043	30	-0.0132
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	196798565	196798705	4	1.2591
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	196798719	203906128	4573	0.0127
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	203908485	203914404	10	-0.8062
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	203921668	208447524	2885	0.0244
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	208447622	208457920	18	-0.6249
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	208458173	215620439	5157	0.02
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	215631500	217084698	1059	-0.7162
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	217086035	227425301	6824	0.0183
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	227426072	227426406	3	-1.3234
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	227429178	230278905	1728	0.011
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	230279582	234550863	3369	-0.6921
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	234556646	237478709	2047	0.0046
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	237482573	239291881	1483	-0.7279
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	239294678	239342756	36	0.1001
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	239342930	239343023	2	-1.4255
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	239343047	241810030	1962	0.0157
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	241815276	241822182	3	-1.5051
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	241824535	243054702	950	-0.0098
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	243055542	243055852	10	-0.7621
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	243055897	243078263	38	-0.0691
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	243080405	243084657	3	-1.4423
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	243084694	248467092	3507	0.0104
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	248467301	248467565	2	-2.4311
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	248468705	248687802	98	-0.0257
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	248687815	248797213	48	0.462
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	1	248805339	249224388	145	0.0712
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	12784	30143	10	-0.0109
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	33901	34346	3	-1.6689
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	36862	283794	163	0.0625
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	285973	296852	8	-1.1247
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	300879	8130885	6121	-0.0259
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	8131580	8136618	7	-1.2395
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	8139924	10315602	1500	0.0292
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	10321210	13330848	2262	-0.7182
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	13338166	24590261	7844	0.0127
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	24592882	24630099	56	0.3442
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	24631499	34520473	6029	0.0336
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	34523978	34525580	2	-2.377
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	34525967	34659936	85	-0.0472
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	34662978	34701625	14	0.2596
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	34701671	34737057	42	0.7388
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	34737163	35968036	877	-0.0369
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	35975973	35987916	7	1.681
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	35987947	49522898	9878	0.018
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	49533042	49541190	6	0.9337
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	49545041	52754468	2282	-0.0355
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	52754480	52781542	39	-2.6637
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	52787949	56696322	2869	0.0188
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	56697359	56725504	19	-0.4326
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	56728166	56984599	202	7e-04
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	56984615	56987383	3	1.2088
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	56988632	57841903	562	-0.0512
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	57842041	57872868	30	-0.3793
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	57875798	65716616	4564	0.0187
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	65718090	65718174	2	-2.3552
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	65718815	68001070	1758	0.0346
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	68002521	68003307	2	-1.6893
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	68004573	76149763	5074	0.0153
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	76153088	76186041	16	-0.6402
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	76188450	79064777	1880	-0.0164
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	79070173	79108594	31	-0.4141
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	79109462	79585056	398	-0.0173
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	79588189	79589920	4	-1.593
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	79591277	89596294	5468	0.0116
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	89596312	89922349	10	-0.7297
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	89934959	90267086	154	0.1024
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	90267103	91964690	85	-0.2419
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	91967186	92118059	20	0.3654
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	92125638	95977562	238	0.0086
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	95980340	96296642	110	-0.6231
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	96326118	146864443	30154	0.0022
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	146864457	146877806	22	-1.8102
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	146878395	154806692	4840	0.0073
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	154808546	154808654	3	-2.1268
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	154808697	169818302	8960	0.0119
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	169821098	169822711	3	-1.2476
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	169823092	185046360	9662	0.0232
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	185050101	185050984	2	-1.6543
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	185052062	189727991	2599	-0.0235
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	189736308	190536283	473	-0.6925
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	190537469	213181322	13524	0.0212
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	213186549	213191418	22	-0.7803
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	213191725	214539079	869	-0.005
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	214543584	214546454	2	-1.6729
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	214547762	221985186	4807	0.0088
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	221994918	222782970	558	-0.5557
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	2	222783551	243089456	12849	0.0255
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	3	60345	224602	157	-0.168
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	3	230022	235748	8	-3.929
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	3	236759	5667706	4792	-0.0638
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	3	5673640	5674716	3	-1.7536
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	3	5680461	7101233	1268	-0.0314
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	3	7101951	7103082	2	-3.1277
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	3	7103950	7125372	24	-0.3975
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	3	7125486	13139038	4599	0.0243
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	3	13140472	13144375	4	-1.0616
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	3	13144728	17717267	3009	0.0033
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	3	17722224	18254381	296	-0.6698
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	3	18254427	19769568	804	-0.0054
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	3	19771106	21875126	1489	-0.7368
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	3	21875665	21957392	102	-1.1195
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	3	21960795	23293433	974	-0.7295
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	3	23295389	37977417	10162	0.0028
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	3	37982108	37986928	18	-1.0479
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	3	37987106	46791545	5547	0.0239
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	3	46793377	46849589	41	0.5865
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	3	46859479	47650390	321	0.0552
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	3	47652021	49009386	535	-0.59
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	3	49012672	67392290	12841	0.0091
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	3	67396950	67443409	49	-0.7751
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	3	67449176	68746164	831	-0.0201
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	3	68746259	68747413	14	1.2836
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	3	68748758	68854792	86	-0.0177
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	3	68855736	69853991	806	-0.691
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	3	69854011	75568549	4042	-0.0099
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	3	75572549	75586805	6	1.3329
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	3	75595181	87843893	6783	-0.0342
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	3	87845957	87854277	4	-0.9675
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	3	87855041	89394742	941	-0.0137
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	3	89405100	89405117	4	1.3851
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	3	89405754	89852830	238	-0.0212
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	3	89855117	89891768	20	-0.7996
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	3	89897823	90095897	75	0.0309
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	3	90106282	90502862	90	-0.5569
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	3	93519478	94218641	313	-0.0106
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	3	94222560	94348227	73	-0.6986
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	3	94349011	95866004	815	-0.011
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	3	95866359	95962331	50	-0.7589
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	3	95964643	108609356	7489	-0.0108
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	3	108614066	108614286	2	-2.0536
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E12_568918	3	108617779	108810858	150	0.1259
