Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D07_781798	1	61735	16831863	8725	-0.0109
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D07_781798	1	16844932	17190862	109	0.3859
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D07_781798	1	17195155	17282425	64	-0.326
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D07_781798	1	17283075	22301569	3340	-0.002
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D07_781798	1	22309874	22338125	12	0.6801
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D07_781798	1	22342389	22617585	198	-0.03
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D07_781798	1	22619342	22624511	7	-0.7456
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D07_781798	1	22625246	25583341	1709	0.0046
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D07_781798	1	25593128	25662212	31	0.6161
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D07_781798	1	25663310	28417471	1175	-0.0025
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D07_781798	1	28420536	28424840	4	0.8059
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D07_781798	1	28424910	35091674	3786	0.0058
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D07_781798	1	35102654	35103036	6	-2.5104
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D07_781798	1	35103142	35103827	5	-0.4349
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D07_781798	1	35103864	35104491	9	-2.6993
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D07_781798	1	35114268	37898064	1500	8e-04
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D07_781798	1	37898668	37900415	3	-1.095
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D07_781798	1	37902135	62114006	14987	-0.0138
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D07_781798	1	62114181	62118187	3	-2.5705
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D07_781798	1	62119809	72768916	7382	-0.0315
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D07_781798	1	72768936	72811148	45	-1.2694
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D07_781798	1	72811904	104159384	20095	-0.028
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D07_781798	1	104163499	104303403	28	-0.635
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D07_781798	1	104303501	106013376	919	-0.0033
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D07_781798	1	106019205	106022375	17	0.5679
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D07_781798	1	106024055	110221727	2654	-0.0148
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D07_781798	1	110224384	110233053	18	0.434
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D07_781798	1	110233118	110242953	15	1.4211
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D07_781798	1	110244998	111377368	840	-0.0013
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D07_781798	1	111377565	111388226	38	-2.0068
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D07_781798	1	111392067	112690326	1079	-0.0163
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D07_781798	1	112695965	112706062	28	0.6044
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D07_781798	1	112706082	152555706	8042	0.0028
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D07_781798	1	152555767	152586278	31	-1.6457
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D07_781798	1	152586540	152759678	174	0.0387
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D07_781798	1	152761923	152768700	37	-1.0495
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D07_781798	1	152773905	169216937	11350	0.0598
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D07_781798	1	169233974	169241766	7	-1.4954
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D07_781798	1	169242401	189986241	13765	0.0507
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D07_781798	1	189986290	189986393	2	1.4006
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D07_781798	1	189986410	189986426	2	-1.4972
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D07_781798	1	189991067	196738981	4452	0.0472
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D07_781798	1	196739972	196789562	47	0.5606
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D07_781798	1	196789698	196790621	8	-0.0424
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D07_781798	1	196790736	196823317	34	0.5775
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D07_781798	1	196823613	208992432	7933	0.0552
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D07_781798	1	208994644	208994658	2	-1.3318
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D07_781798	1	208995798	210071062	886	0.0644
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D07_781798	1	210081613	210083984	3	-1.9819
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D07_781798	1	210086552	230308806	13455	0.0446
