Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G10_569020	1	61735	16138059	8407	-0.1458
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G10_569020	1	16138095	16167780	25	0.5549
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G10_569020	1	16167799	22319001	3814	-0.1377
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G10_569020	1	22320515	22337243	5	-2.0523
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G10_569020	1	22338125	25571269	1910	-0.1288
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G10_569020	1	25574471	25687544	52	0.2785
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G10_569020	1	25687587	32629765	3491	-0.1511
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G10_569020	1	32630594	39128601	3682	0.1604
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G10_569020	1	39132430	39132462	5	1.8854
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G10_569020	1	39135188	72750353	21667	0.3931
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G10_569020	1	72756113	72763370	8	-1.147
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G10_569020	1	72768418	72811076	46	1.102
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G10_569020	1	72811133	104157317	20100	0.2221
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G10_569020	1	104157336	104303403	32	-0.6633
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G10_569020	1	104303501	106013376	919	0.2186
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G10_569020	1	106019205	106022375	17	0.8827
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G10_569020	1	106024055	108729759	1941	0.223
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G10_569020	1	108734235	108739104	4	-0.8696
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G10_569020	1	108739171	108928460	73	0.272
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G10_569020	1	108929977	108985773	8	0.9129
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G10_569020	1	108986181	110226004	634	0.2425
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G10_569020	1	110226140	110242953	27	-0.4755
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G10_569020	1	110244998	112696553	1967	0.1938
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G10_569020	1	112696572	112706128	22	0.6391
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G10_569020	1	112706140	148636769	6340	0.2297
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G10_569020	1	148636891	148953996	34	-0.1783
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G10_569020	1	149024802	149290775	141	-1.0797
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G10_569020	1	149291599	149356425	11	0.033
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G10_569020	1	149361277	149521840	15	-0.5502
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G10_569020	1	149521846	149644969	10	1.0129
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G10_569020	1	149645033	149677141	5	0.335
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G10_569020	1	149691264	149758041	18	-0.3439
