Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	1	61735	1510801	226	-0.1408
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	1	1627918	1672603	17	-0.8784
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	1	1687587	12859399	6281	-0.247
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	1	12859413	13181534	37	0.1032
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	1	13182599	14828082	901	-0.2549
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	1	14831919	14852864	15	0.2471
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	1	14855959	25583341	6666	-0.221
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	1	25593128	25646946	27	-1.2822
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	1	25646986	35077341	4948	-0.244
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	1	35079250	35104491	31	0.0551
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	1	35114268	72768418	23813	-0.2117
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	1	72768498	72811148	47	0.2461
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	1	72811904	108402103	22718	-0.1997
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	1	108402609	110224384	957	0.0627
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	1	110224427	110246130	35	0.7825
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	1	110246273	112690326	1951	0.0365
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	1	112695965	112697390	25	0.6
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	1	112705956	144916995	5295	0.0571
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	1	144920927	144921857	2	-1.2042
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	1	144935489	152555527	2739	0.0719
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	1	152555706	152586576	34	-0.4707
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	1	152586594	152954315	345	-9e-04
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	1	152954377	152954839	2	-1.3348
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	1	152954921	160136350	4314	0.0303
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	1	160137338	160137502	2	-1.35
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	1	160138840	169216937	6856	0.0498
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	1	169233974	169241766	7	0.7777
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	1	169242401	189648157	13445	0.0349
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	1	189648483	189648527	2	-1.3297
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	1	189652047	193617669	2688	0.0367
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	1	193620816	193631528	12	-0.7144
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	1	193636583	203724962	6592	0.0409
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	1	203725989	222365644	12958	0.2507
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	1	222366608	222377004	4	-0.602
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	1	222382134	239253606	11659	0.2484
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	1	239254410	239255387	2	-0.5512
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	1	239258400	245627601	4602	0.223
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	1	245636410	245649651	13	-0.3572
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	1	245650429	249224388	2204	0.2394
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	12784	2449771	1596	-0.0453
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	2451437	2451696	2	-1.6372
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	2452582	10140995	6110	-0.0079
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	10141191	10150523	2	1.133
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	10152983	35960148	17295	0.0143
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	35965115	35987947	12	0.4168
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	35997473	40332851	3165	0.0222
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	40335410	40336640	4	-0.8961
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	40338067	42867608	2019	0.0272
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	42870897	44109507	824	-0.5764
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	44112652	52741737	6122	0.2345
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	52743925	52754881	8	-0.8003
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	52758753	57943511	3767	0.2484
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	57946023	57946630	2	-1.2171
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	57950104	64160385	3511	0.2379
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	64161010	65006551	584	-0.5495
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	65007900	65716616	406	0.0344
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	65718012	65718174	3	0.7731
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	65718815	86441967	13395	0.0073
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	86442548	86442905	2	0.8469
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	86444518	86937687	281	0.0345
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	86953070	86953854	2	1.279
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	86970406	87761615	217	0.0448
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	87763297	87765018	2	-1.3611
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	87766225	106135637	6851	0.0196
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	106138125	106139216	3	-1.2794
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	106140211	112458670	3439	0.0117
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	112462244	113480313	501	-0.5465
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	113485700	118952104	3406	0.2324
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	118953701	118962928	9	0.7325
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	118963331	130793856	7632	0.2282
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	130793883	130817339	3	-0.729
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	130817360	133009808	721	0.2421
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	133012191	133129166	39	0.5809
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	133129285	146862085	8829	0.2206
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	146864404	146866934	24	0.942
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	146877806	154889809	4878	0.2302
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	154895975	154896482	2	-1.8339
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	154900223	164636852	5701	0.2674
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	164643488	164646642	6	-0.4783
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	164648662	177258842	7830	0.2738
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	177267176	177272533	2	-0.6877
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	177275138	180419753	2077	0.2608
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	180420443	180421497	10	-0.6405
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	180421512	202559281	12871	0.2632
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	202559964	202560278	2	-0.8413
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	202560854	208355338	3577	0.26
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	208355696	208356116	7	0.8252
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	208358287	236533815	18212	0.2477
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	236534201	236589977	40	2e-04
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	236595114	237504606	531	0.2295
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	237508570	237947218	393	0.0097
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	2	237947288	243089456	2944	0.2398
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	3	60345	3814010	3423	-0.0609
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	3	3815047	3991152	126	-0.6852
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F09_730134	3	3996098	6646543	2284	-0.0036
