Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	61735	5898323	2686	-0.0493
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	5898729	5902850	10	-0.6729
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	5903958	16363940	5779	0.0476
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	16368133	16379416	6	1.0778
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	16389566	16804341	191	0.0557
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	16806526	17005978	63	-0.2383
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	17011450	17012422	10	0.65
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	17012456	17177965	47	-0.3005
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	17182437	25583341	5317	0.0625
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	25593128	25646946	27	-1.451
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	25646986	51950441	14243	0.0424
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	51961512	51965909	5	-0.8408
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	51969718	54042047	1132	0.0396
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	54042336	54045180	5	-1.0122
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	54045548	57266676	2317	0.0404
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	57266880	57267749	2	-1.7735
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	57267946	72768498	11095	0.0253
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	72768916	72817021	50	0.3619
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	72818599	81888602	5769	-0.0165
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	81888605	81888724	5	-1.2207
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	81888868	104102788	14242	0.0112
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	104103057	104257096	50	0.3044
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	104257579	106013376	926	-0.0224
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	106019205	106022360	16	0.4007
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	106022375	110224427	2653	0.0088
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	110225642	110240178	30	-0.5053
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	110242953	145280322	7420	0.0404
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	145287545	145287875	3	1.6018
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	145288350	148937000	913	0.2544
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	148937905	149732591	198	-0.2684
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	149732625	152555527	1464	0.2796
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	152555706	152590494	36	-0.6055
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	152590565	152759678	170	0.1875
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	152761923	152768700	37	-1.1993
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	152773905	160146173	4465	0.2804
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	160146494	160150874	6	-0.4383
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	160151421	167764835	5743	0.2774
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	167766183	167769672	6	-0.4098
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	167773910	176256629	5635	0.2708
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	176263240	176263287	2	1.564
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	176268044	192937049	11080	0.2435
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	192939916	192943633	3	-1.7151
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	192944821	193213210	283	0.2143
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	193213391	193213474	4	1.6689
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	193221915	196714822	2294	0.2382
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	196714873	196732086	5	-0.8113
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	196738623	222366668	17498	0.2652
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	222374834	222377004	2	-3.4255
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	222382134	223020504	338	0.2386
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	223022923	223026717	4	-0.6236
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	223027548	225657275	1622	0.2868
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	225659217	225673293	16	-0.1854
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	225673516	245636410	14278	0.2706
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	245637039	245650429	13	-0.4771
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	1	245650748	249224388	2205	0.2502
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	2	12784	3148132	2178	0.0683
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	2	3151657	3210196	77	-0.1778
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	2	3211605	4205687	726	0.1262
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	2	4213864	4224019	42	-0.6924
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	2	4230062	24595328	14871	0.1407
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	2	24596812	24611128	27	-0.2221
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	2	24611727	29643332	2705	0.1679
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	2	29643885	29644222	5	-0.8563
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	2	29644595	35975973	4341	0.1348
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	2	35977790	35987916	6	1.0959
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	2	35987947	52764255	12148	0.1423
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	2	52764475	52781295	14	0.8199
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	2	52781326	54428670	1243	0.137
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	2	54433752	54434026	2	1.4182
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	2	54434741	55621744	927	0.1877
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	2	55627639	55627771	2	1.9104
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	2	55627913	76769258	13318	0.1426
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	2	76769272	76769363	2	-0.9702
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	2	76769457	76929056	113	0.0789
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	2	76936031	76949564	16	-1.1188
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	2	76956494	85332445	5326	0.1114
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	2	85332460	85333406	2	-1.0273
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	2	85333976	89136185	1720	0.1494
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	2	89143768	89147550	22	-0.1826
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	2	89147683	98023306	1359	0.117
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	2	98025647	98162189	13	-0.5732
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	2	98166878	146862085	29499	0.124
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	2	146864404	146866909	23	-0.3059
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	2	146866934	211711038	39004	0.1378
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	2	211711552	211711928	2	-1.1963
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	2	211712640	243089456	20066	0.1358
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	3	60345	6646543	5834	0.1009
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	3	6651128	6653332	23	-1.5711
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	3	6655078	16239063	7061	0.1507
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	3	16240556	16241179	6	-1.9138
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	3	16241325	29437405	9022	0.1151
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	3	29437641	29438573	5	-0.8009
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	3	29439460	36016604	4327	0.1401
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	3	36017059	36029767	30	-1.789
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	3	36032179	68746164	21469	0.1514
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	3	68746259	68747413	14	0.9863
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	3	68748758	114655782	25443	0.1154
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	3	114660592	114668950	7	-0.8354
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	3	114669018	120464778	3759	0.1114
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	3	120465842	120482414	11	0.6323
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	3	120483237	125402632	2987	0.1667
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	3	125403933	125476076	24	-0.1223
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	3	125477762	129763698	2460	0.1556
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	3	129766586	129798735	45	0.4329
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	3	129798781	131988638	1443	0.1242
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	3	131988864	131995684	8	-1.1282
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	3	132000477	137798155	3488	0.1381
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	3	137798865	137799548	4	1.1347
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	3	137801213	162714517	15459	0.1318
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	3	162717727	162719562	2	-2.3395
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	3	162726159	178536746	9716	0.1325
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	3	178539486	178540727	4	-0.6046
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	3	178543482	178887589	233	0.1098
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	3	178887634	178888165	8	0.8788
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	3	178892224	192877902	9130	0.1372
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	3	192877962	192882903	19	1.1529
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	3	192886435	195773777	1648	0.171
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	3	195776590	195777211	5	0.9875
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	3	195779098	196662275	420	0.1815
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	3	196662521	196686287	21	-0.3586
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	3	196688124	197834148	574	0.1728
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	3	197834346	197896118	36	-0.1276
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	4	12281	61775	51	-0.267
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	4	61918	3454198	1397	0.157
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	4	3454304	3487322	18	-0.2515
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	4	3503936	7457829	2860	0.1376
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	4	7458757	7464061	11	-0.4351
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	4	7464938	10200718	1431	0.1781
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	4	10203462	10210390	22	-0.222
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	4	10223416	10231498	28	-1.8051
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	4	10234214	10235268	7	-0.4916
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	4	10236142	11764851	1389	0.1563
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	4	11766976	11767901	4	0.9269
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	4	11770411	23994270	8652	0.1235
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	4	23996375	23999673	5	1.124
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	4	24000040	34779004	6920	0.111
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	4	34779025	34824183	40	-0.6988
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	4	34824725	35183361	238	0.0833
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	4	35183698	35184363	2	-1.2604
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	4	35186240	49089374	8719	0.1434
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	4	49093786	49649791	35	-0.2398
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	4	49650106	64693940	7569	0.1132
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	4	64697469	64707605	22	-0.9016
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	4	64707754	64708258	6	-2.3222
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	4	64716431	69333814	2871	0.0864
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	4	69334141	69485979	72	0.4143
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	4	69489335	73551863	2350	0.1298
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	4	73552244	73555438	2	-1.0859
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	4	73558815	91975323	11555	0.1421
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	4	91976427	92066103	64	-0.1976
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	4	92066776	138092103	27008	0.1112
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	4	138092195	138095121	19	-0.4863
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C10_777166	4	138108363	145922881	5034	0.128
