Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	1	61735	4797498	1782	0.2315
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	1	4798021	12858053	4697	-0.9214
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	1	12859292	13375345	43	-0.2572
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	1	13375401	13376042	5	-1.8421
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	1	13376489	13776072	43	-0.1917
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	1	13776828	16149915	1774	-0.9328
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	1	16153497	16171036	16	0.0941
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	1	16176764	16820619	286	-0.8829
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	1	16830583	17048405	85	0.2391
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	1	17048479	17283075	91	-0.3218
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	1	17284920	25571269	5197	-0.9107
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	1	25574471	25646946	34	0.1479
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	1	25646986	30382007	2080	-0.8883
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	1	30382557	30384611	2	-6.1677
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	1	30384652	34756696	2601	-0.958
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	1	34760222	56495121	12428	0.2333
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	1	56495368	56496645	3	-1.9726
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	1	56499451	56637166	79	0.2534
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	1	56638782	56643355	3	-1.4336
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	1	56643949	72763370	11609	0.2282
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	1	72768418	72811133	47	1.1972
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	1	72811148	104103230	20065	0.2014
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	1	104109238	104159347	26	1.0608
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	1	104159384	106019205	949	0.1632
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	1	106019236	106022360	15	1.2008
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	1	106022375	110227515	2670	0.2132
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	1	110232974	110242953	18	-1.3106
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	1	110244998	112690248	1956	0.2331
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	1	112690326	112697241	24	-0.5428
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	1	112697376	149024808	6379	0.2504
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	1	149036524	149306068	140	-2.6781
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	1	149336636	149340200	7	0.0422
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	1	149347527	149429206	15	-1.6455
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	1	149436842	152555527	1499	0.2446
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	1	152555706	152586238	30	2.6081
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	1	152586278	174796556	15082	0.2089
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	1	174796699	174801737	14	-0.8354
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	1	174801840	176220257	970	0.1833
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	1	176232997	176276387	23	1.0288
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	1	176285547	189648157	8929	0.2142
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	1	189648483	189648527	2	-3.0064
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	1	189652047	210068997	13658	0.1993
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	1	210071062	210086552	5	-2.0135
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	1	210093494	213004455	1949	0.2095
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	1	213005012	213010436	7	-1.1365
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	1	213014453	243078263	21374	0.2159
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	1	243080405	243080547	2	-2.0453
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	1	243084657	245627601	1578	0.2112
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	1	245636410	245646904	12	-0.945
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	1	245649651	249224388	2211	0.2312
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	2	12784	34691069	24107	0.1932
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	2	34699315	34737057	46	1.2454
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	2	34737163	106874722	42734	0.2041
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	2	106880095	106887408	14	1.1437
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	2	106887870	114362015	3837	0.2167
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	2	114362414	114362416	2	2.2999
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	2	114380821	116636410	1408	0.1636
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	2	116638321	116638400	2	-2.029
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	2	116646794	123481907	4302	0.203
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	2	123482102	123482241	4	-1.9858
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	2	123483653	146864443	14388	0.1707
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	2	146864457	146866934	21	-2.0364
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	2	146877806	243089456	59159	0.2081
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	3	60345	68746284	47879	0.2375
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	3	68746446	68747413	12	1.5292
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	3	68748758	75568549	4941	0.2385
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	3	75572549	75586805	6	-1.6295
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	3	75595181	97568352	10210	0.2241
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	3	97570864	97572766	2	2.7398
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	3	97574921	97899419	207	0.2404
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	3	97908670	97913425	3	-1.6918
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	3	97914817	122611380	15055	0.2342
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	3	122611592	122619292	4	2.1299
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	3	122621112	129785940	4333	0.2508
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	3	129786209	129806236	46	-1.1501
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	3	129806924	192877962	39569	0.2329
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	3	192878045	192882903	18	1.974
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	3	192886435	197896118	2706	0.2883
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	4	12281	13290	2	-1.4555
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	4	16700	10390715	5992	-0.2606
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	4	10392354	10402998	20	0.4894
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	4	10403545	23447680	9465	-0.2497
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	4	23447690	23449534	9	0.8156
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	4	23451207	25556172	1534	-0.2363
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	4	25556580	25578269	19	0.6878
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	4	25585383	34779054	5762	-0.2589
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	4	34786500	34824725	38	0.7734
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	4	34829872	49089374	8966	-0.2486
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	4	49093786	49656513	38	0.3442
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	4	49656595	59156614	4383	-0.2292
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	4	59168109	59180388	5	-2.2541
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	4	59186677	67780535	5184	-0.2747
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	4	67781168	67787090	5	-2.259
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	4	67788063	69372003	906	-0.2611
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	4	69374941	69489335	66	-0.8785
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	4	69505115	115173700	27720	-0.2309
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	4	115175323	115184310	27	0.5285
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	4	115184322	152789786	22150	-0.2522
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	4	152791533	152792891	13	-1.1968
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	4	152794796	161880141	5878	-0.2566
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	4	161880197	161884600	17	-1.7924
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	4	161884908	191027923	19209	-0.2715
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	5	15532	685504	306	0.2557
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	5	685748	787979	34	0.8982
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	5	788060	46271108	30474	0.2213
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	5	46271930	46273502	6	-2.8185
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	5	46278212	98836572	29073	0.2374
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	5	98839874	98840626	2	2.7524
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	5	98844337	155476772	36414	0.2267
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	5	155476920	155502179	19	-0.5197
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	5	155504405	180790320	16835	0.2401
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	6	149661	280399	115	-0.2037
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	6	285695	387659	95	-0.7214
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	6	389319	6026211	4645	-0.2249
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	6	6033931	6034436	3	-2.4683
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	6	6037045	9212227	2550	-0.2008
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	6	9212240	9221743	2	-2.8367
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	6	9244211	25765691	12262	-0.224
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	6	25769872	25771406	4	-1.8319
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	6	25772047	26732391	592	-0.258
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	6	26732406	26752572	13	-1.3712
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	6	26754381	26763081	8	-0.1487
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	6	26763430	26773509	7	-1.5662
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	6	26783667	29837072	1432	-0.2312
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	6	29837187	29850380	20	-1.2233
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	6	29871636	31286305	668	-0.1499
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	6	31286531	31295953	6	-2.1942
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	6	31295987	32686196	615	-0.1051
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	6	32688615	32692227	12	1.2779
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	6	32700684	33937999	761	-0.2256
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C01_569024	6	33938743	33942705	7	-1.7441
