Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
DLP_REDO_FROM_PRION_B09	1	61735	229158	21	0.5299
DLP_REDO_FROM_PRION_B09	1	229173	4421072	1383	-0.1307
DLP_REDO_FROM_PRION_B09	1	4422005	4423896	3	-1.4827
DLP_REDO_FROM_PRION_B09	1	4424098	16828502	7311	-0.1496
DLP_REDO_FROM_PRION_B09	1	16830583	17045761	84	0.2876
DLP_REDO_FROM_PRION_B09	1	17048196	17190004	27	-0.1418
DLP_REDO_FROM_PRION_B09	1	17190862	17261797	59	-0.4849
DLP_REDO_FROM_PRION_B09	1	17261888	25582629	5268	-0.1515
DLP_REDO_FROM_PRION_B09	1	25582679	25646744	30	0.2464
DLP_REDO_FROM_PRION_B09	1	25646946	30737373	2402	-0.1636
DLP_REDO_FROM_PRION_B09	1	30738355	30739796	7	-1.7461
DLP_REDO_FROM_PRION_B09	1	30741496	72746581	26447	-0.1391
DLP_REDO_FROM_PRION_B09	1	72749848	72763370	11	-0.9299
DLP_REDO_FROM_PRION_B09	1	72768418	100059008	17653	-0.1481
DLP_REDO_FROM_PRION_B09	1	100059600	100059734	3	-1.5987
DLP_REDO_FROM_PRION_B09	1	100061326	104155643	2480	-0.1575
DLP_REDO_FROM_PRION_B09	1	104155731	104257579	30	0.5842
DLP_REDO_FROM_PRION_B09	1	104259444	108729759	2886	-0.1675
DLP_REDO_FROM_PRION_B09	1	108734235	108737496	3	-1.5724
DLP_REDO_FROM_PRION_B09	1	108739104	149229843	9219	-0.1471
DLP_REDO_FROM_PRION_B09	1	149242663	149249447	20	0.3833
DLP_REDO_FROM_PRION_B09	1	149254329	152555706	1532	-0.1275
DLP_REDO_FROM_PRION_B09	1	152555767	152586594	34	0.9627
DLP_REDO_FROM_PRION_B09	1	152590494	152759678	171	-0.1574
DLP_REDO_FROM_PRION_B09	1	152761923	152768700	37	0.1441
DLP_REDO_FROM_PRION_B09	1	152773905	154080441	785	-0.1412
DLP_REDO_FROM_PRION_B09	1	154080957	154081058	2	-1.6505
DLP_REDO_FROM_PRION_B09	1	154089408	161479438	4484	-0.1672
DLP_REDO_FROM_PRION_B09	1	161496900	161650621	60	0.0926
DLP_REDO_FROM_PRION_B09	1	161652302	166184481	3695	-0.1456
DLP_REDO_FROM_PRION_B09	1	166184824	166185037	4	-1.1762
DLP_REDO_FROM_PRION_B09	1	166186356	169216937	2312	-0.1271
DLP_REDO_FROM_PRION_B09	1	169233974	169238745	6	-1.7489
DLP_REDO_FROM_PRION_B09	1	169241766	171432066	1527	-0.1513
DLP_REDO_FROM_PRION_B09	1	171434331	171434436	2	-4.1544
DLP_REDO_FROM_PRION_B09	1	171434641	189775972	12047	-0.1592
DLP_REDO_FROM_PRION_B09	1	189776217	189785983	14	0.4678
DLP_REDO_FROM_PRION_B09	1	189788400	196731610	4626	-0.163
DLP_REDO_FROM_PRION_B09	1	196732086	196815791	93	-0.6967
DLP_REDO_FROM_PRION_B09	1	196816730	238750109	28715	-0.1551
DLP_REDO_FROM_PRION_B09	1	238751620	238751937	5	-1.6403
DLP_REDO_FROM_PRION_B09	1	238752396	239253606	406	-0.1828
DLP_REDO_FROM_PRION_B09	1	239254410	239255387	2	-2.1971
DLP_REDO_FROM_PRION_B09	1	239258400	248737447	6655	-0.1562
DLP_REDO_FROM_PRION_B09	1	248749194	248797213	33	-1.0449
DLP_REDO_FROM_PRION_B09	1	248805339	248809369	5	0.5499
DLP_REDO_FROM_PRION_B09	1	248818483	249224388	140	-0.1305
DLP_REDO_FROM_PRION_B09	2	12784	24606954	17962	0.0942
DLP_REDO_FROM_PRION_B09	2	24606982	24611128	14	-0.8405
DLP_REDO_FROM_PRION_B09	2	24611727	141838279	69875	0.099
DLP_REDO_FROM_PRION_B09	2	141838425	142191301	230	-0.1788
DLP_REDO_FROM_PRION_B09	2	142195756	146862085	2844	0.0762
DLP_REDO_FROM_PRION_B09	2	146864404	146866707	21	0.6771
DLP_REDO_FROM_PRION_B09	2	146866798	161257118	8670	0.1049
DLP_REDO_FROM_PRION_B09	2	161257827	180418333	11862	-0.1498
DLP_REDO_FROM_PRION_B09	2	180418388	180422137	28	-1.2047
DLP_REDO_FROM_PRION_B09	2	180425643	184573947	2618	-0.1607
DLP_REDO_FROM_PRION_B09	2	184577193	184577324	3	-1.5436
DLP_REDO_FROM_PRION_B09	2	184580895	188178101	2040	-0.1669
DLP_REDO_FROM_PRION_B09	2	188178925	189118923	542	0.1209
DLP_REDO_FROM_PRION_B09	2	189119928	189126930	4	-2.7003
DLP_REDO_FROM_PRION_B09	2	189129058	218257449	17742	0.1092
DLP_REDO_FROM_PRION_B09	2	218257643	218258530	2	-1.4152
DLP_REDO_FROM_PRION_B09	2	218259653	224389483	3915	0.093
DLP_REDO_FROM_PRION_B09	2	224392195	224397461	2	-1.3235
DLP_REDO_FROM_PRION_B09	2	224397571	229960387	3682	0.1064
DLP_REDO_FROM_PRION_B09	2	229964054	229964120	2	-1.5791
DLP_REDO_FROM_PRION_B09	2	229964444	243089456	8073	0.0989
DLP_REDO_FROM_PRION_B09	3	60345	348002	278	-0.0435
DLP_REDO_FROM_PRION_B09	3	349112	349371	3	-1.7697
DLP_REDO_FROM_PRION_B09	3	353314	6769713	5690	-0.0093
DLP_REDO_FROM_PRION_B09	3	6771675	6773967	3	-1.1425
DLP_REDO_FROM_PRION_B09	3	6776587	60051461	34866	0.0141
DLP_REDO_FROM_PRION_B09	3	60051898	60052039	3	-1.1671
DLP_REDO_FROM_PRION_B09	3	60055788	60115140	76	-0.299
DLP_REDO_FROM_PRION_B09	3	60115462	76082929	12111	0.017
DLP_REDO_FROM_PRION_B09	3	76084525	76096571	10	-1.0086
DLP_REDO_FROM_PRION_B09	3	76097560	78473138	1456	0.0029
