Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B02_808594	1	61735	98588	16	-0.7256
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B02_808594	1	98602	30731522	16552	-0.0626
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B02_808594	1	30731577	30745210	16	-0.6598
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B02_808594	1	30747576	54438103	13231	-0.0623
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B02_808594	1	54440228	54525556	48	0.2283
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B02_808594	1	54531898	62114006	5758	-0.0728
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B02_808594	1	62114181	62118187	3	-1.4258
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B02_808594	1	62119809	72763370	7368	-0.0723
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B02_808594	1	72768418	72811148	48	-0.9932
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B02_808594	1	72811904	106019483	21020	-0.0818
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B02_808594	1	106021204	106022344	10	-0.858
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B02_808594	1	106022360	110232974	2674	-0.0587
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B02_808594	1	110233037	110233053	2	1.4072
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B02_808594	1	110233118	111377575	859	-0.0696
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B02_808594	1	111378895	111383912	29	-0.5378
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B02_808594	1	111383935	149732729	7673	-0.062
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B02_808594	1	149739073	152759678	1673	0.2453
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B02_808594	1	152761923	152768700	37	-1.4591
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B02_808594	1	152773905	192840948	26886	0.2121
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B02_808594	1	192841290	193204338	328	-0.0763
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B02_808594	1	193206377	202042364	5831	0.211
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B02_808594	1	202042872	202051984	3	-1.0176
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B02_808594	1	202052013	217166744	10330	0.2213
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B02_808594	1	217166839	217166976	2	1.3851
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B02_808594	1	217167592	217709890	456	0.1582
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B02_808594	1	217710533	217710560	2	-0.9948
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B02_808594	1	217719563	222366668	3225	0.1708
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B02_808594	1	222374834	222377004	2	-2.6163
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B02_808594	1	222382134	223644261	744	0.1904
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B02_808594	1	223644406	223645361	5	-0.4653
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B02_808594	1	223646781	228731677	2981	0.2352
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B02_808594	1	228740121	249224388	14759	-0.0944
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B02_808594	2	12784	4205687	2988	-0.0778
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B02_808594	2	4213864	4223695	39	-0.7406
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B02_808594	2	4223725	34691069	21068	-0.0248
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B02_808594	2	34699315	34708650	8	0.6878
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B02_808594	2	34710728	34717974	22	0.2232
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B02_808594	2	34717988	34737163	17	0.6914
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B02_808594	2	34737556	38029028	2511	0.0028
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B02_808594	2	38029427	38030010	2	-1.4744
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B02_808594	2	38030131	38467279	379	0.0361
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B02_808594	2	38469035	38469133	2	-1.1821
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B02_808594	2	38469908	40332851	1155	1e-04
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B02_808594	2	40335410	40335459	2	-1.8821
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B02_808594	2	40335876	52741737	8985	-0.0072
