Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D08_781792	1	61735	82315	10	-0.0815
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D08_781792	1	82650	98588	6	-1.0817
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D08_781792	1	98602	1453602	192	-0.1761
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D08_781792	1	1462766	1510801	18	0.5072
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D08_781792	1	1627918	9820103	4715	-0.1914
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D08_781792	1	9825989	10224693	164	0.1942
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D08_781792	1	10228014	12892508	1453	-0.1671
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D08_781792	1	12909977	12927107	7	-0.9072
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D08_781792	1	12927856	16149915	1851	-0.1779
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D08_781792	1	16153497	16154201	7	0.5253
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D08_781792	1	16154239	17005776	347	-0.1765
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D08_781792	1	17005978	17012785	14	0.4968
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D08_781792	1	17016177	17258139	92	0.0692
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D08_781792	1	17258501	25583341	5287	-0.168
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D08_781792	1	25593128	25662005	30	0.5035
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D08_781792	1	25662212	52521018	14515	-0.1635
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D08_781792	1	52530933	52630964	40	0.2079
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D08_781792	1	52636505	62284491	7030	-0.1466
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D08_781792	1	62284504	62391060	71	0.294
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D08_781792	1	62391234	72759212	7191	-0.1444
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D08_781792	1	72759509	72811904	54	0.1986
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D08_781792	1	72812440	110232974	23728	-0.1478
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D08_781792	1	110233037	110242953	17	-0.8593
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D08_781792	1	110244998	112690326	1958	-0.1633
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D08_781792	1	112695965	112697390	25	0.3033
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D08_781792	1	112705956	114480431	1047	-0.1572
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D08_781792	1	114481754	114587054	68	0.2153
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D08_781792	1	114587382	116718367	1464	-0.1523
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D08_781792	1	116718849	116721363	3	-1.5783
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D08_781792	1	116721898	144015957	2618	-0.139
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D08_781792	1	144016011	144542773	35	0.1698
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D08_781792	1	144545755	144887459	33	-0.1693
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D08_781792	1	144887753	145173084	155	0.113
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D08_781792	1	145173140	145382124	42	-0.1282
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D08_781792	1	145390114	152555706	2579	0.1787
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D08_781792	1	152555767	152586238	30	-1.8148
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D08_781792	1	152586278	152586594	4	-0.6224
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D08_781792	1	152590494	152763069	191	0.1792
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D08_781792	1	152767467	152768700	17	0.8525
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D08_781792	1	152773905	173036104	13957	0.183
