Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F06_777114	1	61735	750334	44	0.1423
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F06_777114	1	752566	2059649	334	-0.3741
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F06_777114	1	2061969	2074104	4	-2.0161
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F06_777114	1	2075068	17005978	8358	-0.2789
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F06_777114	1	17011450	17012785	13	0.7527
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F06_777114	1	17016177	17190004	46	-0.1381
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F06_777114	1	17190862	17262232	61	0.4547
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F06_777114	1	17262247	25583341	5249	-0.2601
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F06_777114	1	25593128	25662212	31	0.2615
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F06_777114	1	25663310	72750353	28783	-0.2586
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F06_777114	1	72756113	72763370	9	-1.4037
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F06_777114	1	72768418	72811148	48	0.6593
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F06_777114	1	72811904	104159384	20048	-0.2658
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F06_777114	1	104163499	104268222	27	-0.8481
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F06_777114	1	104303403	106012754	918	-0.2436
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F06_777114	1	106013376	106022375	18	-1.6138
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F06_777114	1	106024055	110224427	2653	-0.2515
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F06_777114	1	110225642	110242953	31	0.7057
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F06_777114	1	110244998	113437110	2453	-0.2647
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F06_777114	1	113444110	113446860	2	-2.1943
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F06_777114	1	113448853	144914863	4813	-0.2553
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F06_777114	1	144916995	144921857	3	-1.3537
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F06_777114	1	144935489	152555706	2734	-0.1422
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F06_777114	1	152555767	152556414	6	0.8158
