Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A03_781880	1	61735	12859413	6533	-0.0351
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A03_781880	1	12862241	12867851	15	0.6552
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A03_781880	1	12867914	25582629	7612	-0.0267
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A03_781880	1	25582679	25662005	34	0.7099
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A03_781880	1	25662212	30738504	2401	-0.0795
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A03_781880	1	30738534	30739796	4	-1.6776
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A03_781880	1	30741496	72768936	26462	-0.0349
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A03_781880	1	72771143	72779080	8	-2.176
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A03_781880	1	72779091	72811133	35	-0.6105
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A03_781880	1	72811148	104221531	20100	-0.2492
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A03_781880	1	104221631	104260032	20	-0.8762
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A03_781880	1	104260239	106013376	923	-0.171
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A03_781880	1	106019205	106022375	17	0.6451
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A03_781880	1	106024055	110232974	2673	-0.1715
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A03_781880	1	110233037	110240178	16	1.4941
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A03_781880	1	110242953	118836067	5898	-0.1794
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A03_781880	1	118839618	119138803	184	0.3871
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A03_781880	1	119141796	148906617	2272	0.0669
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A03_781880	1	148907270	149290775	152	-0.5006
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A03_781880	1	149291599	152555706	1523	0.1632
