Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H04_568912	1	61735	2515736	516	0.1297
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H04_568912	1	2516044	2549365	10	0.8541
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H04_568912	1	2552826	12852748	6003	-0.0333
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H04_568912	1	12857863	13543101	72	0.43
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H04_568912	1	13544175	16147063	1806	-0.0283
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H04_568912	1	16147081	16167780	21	0.7144
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H04_568912	1	16167799	16830583	292	0.0197
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H04_568912	1	16830820	16943613	23	-0.6937
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H04_568912	1	16943638	17225225	99	6e-04
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H04_568912	1	17225367	17235698	5	1.7028
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H04_568912	1	17235852	22337243	3399	-0.001
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H04_568912	1	22338125	22368208	16	0.6108
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H04_568912	1	22371404	25459575	1826	-0.0018
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H04_568912	1	25459680	25460274	12	0.7173
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H04_568912	1	25460356	25570830	54	-0.0294
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H04_568912	1	25571269	25583341	8	0.4912
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H04_568912	1	25593128	25663344	33	-1.2091
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H04_568912	1	25673154	25687587	13	0.512
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H04_568912	1	25688276	26805583	531	0.0174
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H04_568912	1	26813075	26846770	15	0.6175
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H04_568912	1	26848351	39132430	6619	-0.0139
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H04_568912	1	39132431	39132462	4	1.4527
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H04_568912	1	39135188	40132220	509	0.012
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H04_568912	1	40135017	40144818	7	-0.8742
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H04_568912	1	40145062	40785263	348	-0.0119
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H04_568912	1	40786452	40788961	2	1.6822
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H04_568912	1	40790678	46510353	3271	-0.0014
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H04_568912	1	46512275	46513826	2	2.2614
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H04_568912	1	46519553	70731885	16194	0.0048
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H04_568912	1	70736567	70790308	20	0.5991
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H04_568912	1	70792304	70999657	168	0.0089
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H04_568912	1	71000598	71001138	2	-2.7757
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H04_568912	1	71002192	72804962	1170	-0.0126
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H04_568912	1	72805497	72809431	7	1.628
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H04_568912	1	72809842	106013376	21034	0.0063
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H04_568912	1	106019205	106022375	17	1.1647
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H04_568912	1	106024055	148893345	11027	0.0103
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H04_568912	1	148906617	149290775	151	-0.5341
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H04_568912	1	149291599	152555176	1519	0.0365
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H04_568912	1	152555527	152586540	34	0.889
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H04_568912	1	152586576	152761923	174	0.0306
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H04_568912	1	152761939	152762890	14	1.4826
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H04_568912	1	152762903	152768700	22	0.6488
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H04_568912	1	152773905	169216937	11344	0.0027
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H04_568912	1	169233974	169241766	7	-2.2025
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H04_568912	1	169242401	177808284	5530	-0.0023
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H04_568912	1	177808463	177809560	2	-2.5385
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H04_568912	1	177809861	179117101	860	0.0308
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H04_568912	1	179120202	179120676	6	1.4041
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H04_568912	1	179120743	189399564	6887	0.0033
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H04_568912	1	189402932	189478530	41	0.4925
