Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	61735	3152968	730	-0.0165
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	3155789	25583341	13357	-0.6952
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	25593128	25645658	23	-1.4693
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	25646184	30479770	2181	-0.6825
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	30485510	30488561	5	-6.0272
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	30490594	32561977	1282	-0.6996
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	32565115	50059967	9934	0.0281
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	50063178	50185479	51	-0.6222
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	50190931	72750353	15323	0.0254
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	72756113	72763370	9	-0.643
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	72768418	72809372	42	0.3756
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	72809431	75269284	1512	-0.0216
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	75271072	75273866	2	-1.9109
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	75273987	76050174	420	-0.0153
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	76050815	76065190	11	0.4416
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	76068279	104102788	18089	-0.0035
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	104103057	104163499	30	0.3263
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	104163787	110227500	3634	-0.0088
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	110227515	110242953	19	-0.5315
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	110244998	110431020	132	0.0551
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	110431422	110431514	2	-0.9769
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	110433921	111377368	705	0.0415
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	111377565	111388226	38	0.3638
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	111392067	112690326	1077	0.0173
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	112695965	112697376	24	0.5356
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	112697390	148575561	6336	0.0334
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	148585337	148627842	4	-1.1619
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	148636769	152759678	1899	0.0216
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	152761923	152768259	32	0.7058
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	152768281	155180466	1346	0.008
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	155189160	155201064	11	1.8099
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	155211667	158744665	2165	-0.007
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	158745653	158746150	3	-1.2346
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	158746336	169216937	7789	-0.0021
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	169233974	169241766	7	0.8192
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	169242401	174796405	3520	-0.0151
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	174796556	174801854	17	-1.7434
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	174801872	189875974	10102	-0.0156
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	189877931	189878133	2	-1.5285
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	189878594	196732086	4537	-0.0355
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	196738623	196789082	50	0.2341
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	196789228	196799505	25	-0.0378
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	196799699	196812507	15	0.3735
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	196812530	196815791	2	3.7264
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	196816730	210071062	8805	0.0069
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	210081613	210083984	3	0.7962
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	210086552	238506666	19650	-0.0071
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	238508989	238512614	3	-1.2068
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	238514420	245636410	5201	-0.0258
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	245637039	245646904	11	-2.1883
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	245649651	246452594	633	-0.0081
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	246452817	246507696	35	0.3195
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	246507983	248600297	1319	0.0023
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	248600796	248637264	14	0.6542
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	248638626	248737447	26	-0.1
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	248749194	248797213	33	-1.9035
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	1	248805339	249224388	145	0.0073
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	2	12784	4205687	2987	-0.0239
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	2	4213864	4224019	42	-1.5743
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	2	4230062	12304073	6262	-0.0074
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	2	12304090	12304315	4	-0.953
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	2	12304371	27439751	10052	-0.0014
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	2	27441302	27441500	3	-0.8212
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	2	27441904	33058220	3446	0.0043
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	2	33058768	33062481	6	-0.5425
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	2	33064005	34699315	1275	-0.0134
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	2	34701394	34727785	41	0.3106
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	2	34727851	35975973	879	0.0015
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	2	35977790	35987947	7	-0.8408
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	2	35997473	38954495	2315	0.031
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	2	38955866	38974884	10	0.6195
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	2	38980922	41238673	1617	-0.0132
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	2	41238810	41245887	17	-0.4926
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	2	41251233	52754468	8174	0.0055
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	2	52754480	52781542	39	0.6763
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	2	52787949	220475075	98196	-0.0033
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_E09_730254	2	220475584	220485371	2	-1.4835
