Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D07_831316	1	61735	625470	34	0.4608
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D07_831316	1	707099	12841928	6494	-0.046
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D07_831316	1	12845863	12927107	38	-0.479
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D07_831316	1	12927856	16851514	2158	-0.0435
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D07_831316	1	16869363	17005776	45	0.3091
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D07_831316	1	17005978	17012741	13	-0.1566
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D07_831316	1	17012785	17017078	6	0.4069
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D07_831316	1	17017530	17093417	25	0.0926
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D07_831316	1	17094015	17182437	15	0.4317
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D07_831316	1	17190004	25583341	5330	-0.0309
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D07_831316	1	25593128	25662212	31	0.4571
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D07_831316	1	25663310	35091674	4965	-0.0371
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D07_831316	1	35102654	35103036	6	-0.7265
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D07_831316	1	35103142	35103827	5	0.0214
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D07_831316	1	35103864	35104491	9	-0.663
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D07_831316	1	35114268	72768916	23842	-0.0251
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D07_831316	1	72768936	72811148	45	-1.0588
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D07_831316	1	72811904	104163499	20073	-0.0221
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D07_831316	1	104163787	104260239	24	0.3776
