Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	61735	761368	48	-0.0212
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	761732	765269	3	-1.7484
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	768793	16149915	8364	0.1284
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	16153497	16154201	7	0.98
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	16154239	16869363	303	0.1507
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	16871278	17016880	62	-0.1478
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	17017078	17048479	18	0.4927
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	17056457	17182437	23	-0.4002
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	17190004	17276241	64	0.5326
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	17277940	25583341	5272	0.1402
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	25593128	25662212	31	0.6669
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	25663310	28328920	1134	0.1171
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	28335544	31583344	1850	-0.463
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	31593248	37898668	3492	0.1264
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	37900173	37900415	2	-1.3371
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	37902135	57653157	11612	0.149
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	57653897	57654660	3	-0.8901
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	57658036	72768498	10757	0.1692
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	72768916	72811148	46	-1.4602
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	72811904	80365996	4755	0.1513
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	80369289	80403167	22	0.5775
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	80403974	83875834	2359	0.1447
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	83875835	83885215	3	-0.6761
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	83885493	85016559	790	0.2016
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	85017172	85018052	3	-0.7461
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	85021277	89475255	3054	0.1917
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	89477958	89478205	2	-2.8185
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	89481524	94195026	2781	0.1525
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	94195226	104163787	6318	-0.4166
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	104178038	104303403	26	-1.0419
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	104303501	106012754	916	-0.3955
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	106013376	106022375	18	-1.0434
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	106024055	110227515	2667	-0.4113
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	110232974	110240178	17	0.8562
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	110242953	111366102	830	-0.4434
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	111370372	111401322	67	-0.1836
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	111401497	112690326	1058	-0.474
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	112695965	112706213	37	0.0948
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	112706218	115018977	1412	-0.4247
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	115019496	152555706	6612	0.1508
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	152555767	152586594	34	-1.7299
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	152590494	152759678	171	0.124
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	152761923	152768700	37	0.8082
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	152773905	168986301	11152	0.1444
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	168986374	168987211	4	-1.6061
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	168989386	169216937	190	0.1648
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	169233974	169241766	7	1.5408
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	169242401	192982378	15653	0.1579
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	192989259	193126441	101	-0.5221
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	193135172	196714822	2459	0.1848
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	196714873	196801784	89	-0.3485
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	196801805	208440902	7442	0.1422
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	208445720	208457920	31	0.6854
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	208458173	210071062	1358	0.1308
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	210081613	210082065	2	-1.2951
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	210083984	225662318	10597	0.1567
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	225662678	225670344	11	-0.3975
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	225673293	240391740	10598	0.2111
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	240394015	240394139	6	-1.1639
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	240396105	243048740	2080	0.2178
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	243049874	243120692	69	-0.0429
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	243120996	248737447	3609	0.2113
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	248749194	248774791	18	0.7134
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	1	248775099	249224388	160	0.1987
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	2	12784	4203580	2990	0.0878
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	2	4205687	4230062	44	-0.4982
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	2	4234782	13984710	7459	0.1375
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	2	13986224	13986304	2	-3.2418
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	2	13987873	63076330	33567	0.1471
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	2	63078126	63512206	168	-0.5353
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	2	63514651	79581175	10440	0.1339
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	2	79585003	79589920	6	-0.6146
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	2	79591277	91890841	5703	0.1288
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	2	91891552	92275027	59	0.4363
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	2	92275652	106883229	6510	0.1294
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A09_781922	2	106883331	106884979	5	1.1275
