Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E12_787548	1	61735	761732	49	-0.1904
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E12_787548	1	762118	12892508	6472	-0.7673
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E12_787548	1	12909977	12927107	7	-2.9862
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E12_787548	1	12927856	31814735	10692	-0.7632
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E12_787548	1	31822636	35091638	1862	0.0458
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E12_787548	1	35091674	35114268	22	-0.586
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E12_787548	1	35115542	41021036	3186	0.0328
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E12_787548	1	41022076	41028926	5	-0.9109
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E12_787548	1	41030464	52223553	6187	0.0267
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E12_787548	1	52223760	52256884	15	-0.7402
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E12_787548	1	52263882	52264844	3	-2.1778
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E12_787548	1	52265517	53548915	648	-0.7461
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E12_787548	1	53550187	53551880	3	-2.471
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E12_787548	1	53554305	57637424	3031	-0.7758
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E12_787548	1	57645519	57661973	23	-1.3798
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E12_787548	1	57663905	77577731	13831	-0.7865
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E12_787548	1	77589181	77674084	41	-0.0223
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E12_787548	1	77682237	80596275	1781	-0.7885
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E12_787548	1	80596899	83850358	2195	-0.0251
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E12_787548	1	83850390	83854308	3	-1.3904
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E12_787548	1	83857253	89475135	3861	0.0013
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E12_787548	1	89475230	89478205	4	-2.2154
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E12_787548	1	89481524	92228208	1810	-0.0278
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E12_787548	1	92230845	92233820	3	-1.0105
