Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	1	61735	7558323	3679	-2e-04
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	1	7561762	7571809	10	0.8163
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	1	7571996	17114427	5135	-0.0194
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	1	17114634	17209603	10	-0.9524
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	1	17210652	19374613	1594	-0.0177
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	1	19376017	19376494	2	-1.9405
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	1	19379847	25447492	3638	-0.0301
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	1	25447531	25460099	33	0.4655
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	1	25460115	25601859	72	0.0416
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	1	25601972	25662212	24	0.6176
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	1	25663310	55218155	16136	-0.0301
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	1	55220894	55274652	38	0.4362
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	1	55274810	65853649	8072	-0.0178
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	1	65854855	65873828	11	-1.1962
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	1	65873872	104221631	24734	-0.0203
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	1	104221647	104260032	19	-0.9577
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	1	104260239	111380020	4490	-0.0236
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	1	111382479	111393505	23	0.6143
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	1	111393713	152555176	9133	-0.0418
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	1	152555527	152586594	36	1.1798
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	1	152590494	152759678	170	-0.0214
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	1	152761923	152768700	37	0.8062
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	1	152773905	161523865	5276	-0.0308
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	1	161523880	161636891	37	0.4205
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	1	161636985	196738782	24237	-0.0213
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	1	196738981	196799505	71	-0.5364
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	1	196799699	225979712	19612	-0.0275
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	1	225980594	226058639	50	0.3393
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	1	226061006	228513718	1433	-0.041
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	1	228527290	228535364	5	0.8772
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	1	228535561	228654195	48	-0.0101
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	1	228658545	228703289	19	0.4791
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	1	228703440	230366620	1156	-0.056
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	1	230367569	230372843	5	-1.1686
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	1	230375929	232698711	1780	-0.0204
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	1	232700772	232703698	2	-2.9758
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	1	232704109	249224388	11846	-0.0269
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	2	12784	4217296	2998	0.0089
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	2	4217556	4235384	36	-0.8044
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	2	4236805	90320708	57240	-0.0252
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	2	90321393	91849290	57	-0.6283
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	2	91858949	243089456	89683	-0.0218
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	3	60345	6646543	5843	-0.0699
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	3	6651128	6655430	28	-0.8522
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	3	6658264	21160518	9993	-0.0263
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	3	21161098	21200684	21	-0.6996
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	3	21201072	68732028	31976	-0.0296
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	3	68746164	68748786	17	-0.9556
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	3	68748945	162512657	55073	-0.029
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	3	162512739	162625995	69	0.6015
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	3	162626572	167842835	2915	-0.0519
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	3	167844522	167859490	3	-2.743
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	3	167862120	175597952	5092	-0.0295
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	3	175599404	175668313	34	-0.5605
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	3	175668856	194625291	12326	-0.0246
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	3	194625389	194642480	14	-0.8542
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	3	194642628	195399075	323	-0.0191
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	3	195400799	195455508	26	0.7636
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	3	195455861	197896118	1191	0.0242
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	4	12281	62126	54	-0.6641
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	4	65677	1412012	533	0.0087
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	4	1416419	1416863	2	-2.6325
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	4	1416932	10210390	5212	-0.0314
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	4	10223416	10235182	34	0.7431
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	4	10235268	69374955	36527	-0.0348
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	4	69375160	69540025	71	0.7088
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	4	69551744	108051500	23281	-0.0272
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	4	108065751	108076533	38	-1.3737
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	4	108077434	135098117	16035	-0.0314
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	4	135104530	135138314	15	-0.8076
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	4	135140403	161040400	15796	-0.0235
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	4	161040738	161070789	43	-0.7729
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	4	161083870	172369346	7288	-0.0299
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D05_585356	4	172374884	172377724	11	1.0657
