Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	1	61735	22323157	12223	0.0659
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	1	22328279	22337243	4	-1.8237
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	1	22338125	39128601	9107	0.0601
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	1	39132430	39132462	5	1.2832
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	1	39135188	72768916	21604	0.0415
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	1	72768936	72811133	44	-0.8262
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	1	72811148	76050844	1931	-0.0045
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	1	76054763	76054854	2	-2.2126
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	1	76059509	89475255	9027	0.0027
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	1	89477958	89478205	2	-2.4359
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	1	89481524	110232974	12712	0.0142
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	1	110233037	110236947	13	-0.6136
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	1	110239522	112688311	1955	0.0184
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	1	112690211	112697241	26	0.6339
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	1	112697376	152555706	8030	0.0522
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	1	152555767	152586238	30	1.2656
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	1	152586278	162831597	6475	0.0399
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	1	162831950	162832406	2	-1.921
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	1	162835083	196789698	23264	0.0125
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	1	196789767	196801442	29	-0.5419
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	1	196801655	196823317	12	-0.0256
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	1	196823613	196895847	60	-1.0594
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	1	196901753	199542956	1623	-0.0168
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	1	199543025	199545027	3	-1.3859
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	1	199545705	210071062	7111	0.0416
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	1	210081613	210083984	3	-1.784
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	1	210086552	223989343	9561	0.0112
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	1	223993119	224441695	208	-0.3386
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	1	224442487	242342884	12877	0.0256
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	1	242343502	242343622	2	1.6124
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	1	242345289	249224388	4419	0.0169
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	2	12784	11628475	8735	0.5018
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	2	11631780	52758815	28408	0.0155
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	2	52758941	52781412	25	-0.4865
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	2	52781497	146862085	53539	0.0052
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	2	146864404	146881099	39	0.6387
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	2	146881437	243089456	59015	0.0029
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	3	60345	6651128	5837	0.3289
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	3	6651211	6653332	22	-0.3081
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	3	6655078	26601764	14173	0.398
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	3	26611497	26614985	23	-0.7131
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	3	26615949	60276722	20947	0.2774
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	3	60277140	60279946	6	-0.9803
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	3	60280255	60315708	33	-0.1204
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	3	60315726	60326808	19	-0.5895
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	3	60331641	60886847	595	0.252
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	3	60887261	61102407	217	-0.4144
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	3	61104862	65199702	3484	0.4447
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	3	65199867	65203528	5	-0.3
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	3	65203532	68746164	2439	0.2748
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	3	68746259	68747243	10	-1.0371
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	3	68747289	85152987	10252	0.3309
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	3	85154996	86439745	702	-0.0332
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	3	86444869	128399221	23111	0.3341
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	3	128405171	128411778	6	1.627
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	3	128412331	129762859	626	0.4449
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	3	129763698	129806236	52	-0.9472
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	3	129806924	137284015	4639	0.4655
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	3	137287437	137287824	2	1.9687
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	3	137291022	144202451	4293	0.4006
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	3	144204314	144229272	13	0.794
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	3	144231433	162513092	11319	0.0549
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	3	162513149	162524858	9	0.9788
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	3	162528630	162532950	4	-0.3644
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	3	162534730	162540473	5	-1.3839
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	3	162540490	162623881	46	0.7221
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	3	162623897	174217522	7022	0.3725
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	3	174217584	174509183	185	-0.0879
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	3	174511328	174701885	126	-0.49
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	3	174703155	192873704	11843	0.0072
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	3	192873807	192882903	22	0.9068
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	3	192886435	195285664	1483	0.0526
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	3	195285898	195474182	47	0.5714
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	3	195474763	197896118	1172	0.104
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	4	12281	9456977	5224	-0.3656
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	4	9461230	9479345	9	0.7563
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	4	9486087	10229186	553	-0.3609
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F06_730230	4	10229216	10231498	18	-2.1526
