Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D01_569130	1	61735	62937	6	-0.7367
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D01_569130	1	72704	750334	38	0.7145
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D01_569130	1	752566	12873385	6498	0.0127
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D01_569130	1	12877057	12927107	12	1.0675
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D01_569130	1	12927856	16149915	1848	0.0526
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D01_569130	1	16153497	16153754	3	1.4528
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D01_569130	1	16153833	16814994	296	0.0717
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D01_569130	1	16815530	17012314	65	0.7576
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D01_569130	1	17012422	17045761	23	0.158
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D01_569130	1	17048196	17209603	31	0.8457
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D01_569130	1	17210652	25583341	5326	0.0602
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D01_569130	1	25593128	25646986	28	-1.7947
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D01_569130	1	25661501	35102654	4967	0.0433
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D01_569130	1	35102670	35104491	19	0.9196
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D01_569130	1	35114268	72763370	23861	0.0524
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D01_569130	1	72768418	72811148	48	-1.8224
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D01_569130	1	72811904	73442783	413	-0.0131
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D01_569130	1	73451190	73455580	4	1.0187
