Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E06_808684	1	61735	2024064	368	-0.1804
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E06_808684	1	2027901	2056735	8	-1.5898
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E06_808684	1	2059649	35102654	18709	-0.2257
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E06_808684	1	35102670	35115542	21	-0.9858
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E06_808684	1	35116561	99642650	41103	-0.2211
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E06_808684	1	99643437	99643933	2	-2.5783
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E06_808684	1	99643963	101920036	1474	-0.1556
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E06_808684	1	101922436	101981658	54	0.2931
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E06_808684	1	101985781	104239986	1280	-0.1623
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E06_808684	1	104256880	104261206	10	0.4826
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E06_808684	1	104268222	106019310	921	-0.2314
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E06_808684	1	106019370	106024070	16	-0.8866
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E06_808684	1	106024090	110233571	2672	-0.2137
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E06_808684	1	110234231	110236947	7	-1.4762
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E06_808684	1	110239522	116022989	4070	-0.1139
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E06_808684	1	116023376	121338948	3088	0.5125
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E06_808684	1	121340237	144876896	72	0.0524
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E06_808684	1	144879981	144880109	2	-2.7998
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E06_808684	1	144880155	152555706	2783	0.1803
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E06_808684	1	152555767	152586594	34	-1.0788
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E06_808684	1	152590494	193155792	27327	0.194
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E06_808684	1	193156279	193156348	4	1.802
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E06_808684	1	193159723	249224388	38420	0.1931
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E06_808684	2	12784	89934959	59973	-0.2383
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E06_808684	2	89936766	90248307	146	0.1137
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E06_808684	2	90248497	91812834	65	-0.3706
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E06_808684	2	91813233	111037146	8775	0.2046
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E06_808684	2	111038563	111061274	8	-1.0199
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E06_808684	2	111097151	114324463	1630	0.2126
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E06_808684	2	114325089	114380821	7	-1.2871
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E06_808684	2	114383552	117588586	1944	0.21
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E06_808684	2	117589767	117591245	3	-1.4913
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E06_808684	2	117591704	118960974	907	0.2099
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E06_808684	2	118962358	118963331	3	-1.493
