Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B05_831470	1	61735	13375764	6574	0.0024
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B05_831470	1	13375968	13376042	3	-1.3663
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B05_831470	1	13376489	26616513	8044	0.0187
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B05_831470	1	26622607	26727205	69	0.3107
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B05_831470	1	26728723	35091638	4458	0.0154
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B05_831470	1	35091674	35104491	21	-0.4988
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B05_831470	1	35114268	38804868	1980	0.0066
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B05_831470	1	38806592	38844957	31	0.2848
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B05_831470	1	38845035	49612450	6254	0.0307
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B05_831470	1	49615825	49715272	37	-0.377
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B05_831470	1	49719903	67575454	12201	0.0309
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B05_831470	1	67576075	67623298	35	0.2837
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B05_831470	1	67630443	72750353	3290	0.0376
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B05_831470	1	72756113	72763370	9	-0.8424
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B05_831470	1	72768418	72811133	47	0.3297
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B05_831470	1	72811148	76050844	1931	0.0186
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B05_831470	1	76054763	76054854	2	-2.3401
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B05_831470	1	76059509	81888602	3853	0.0238
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B05_831470	1	81888605	81888681	3	-0.9051
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B05_831470	1	81888694	89475255	5185	0.043
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B05_831470	1	89477958	89478205	2	-3.0672
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B05_831470	1	89481524	110227515	12732	0.0378
