Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A07_777172	1	61735	17012741	8744	-0.1815
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A07_777172	1	17012785	17284920	114	-0.7807
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A07_777172	1	17286210	72773413	34031	-0.289
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A07_777172	1	72773429	72775134	2	-3.2291
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A07_777172	1	72779080	72811148	37	-0.7496
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A07_777172	1	72811904	106012754	20987	-0.2401
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A07_777172	1	106013376	106022375	18	-1.5023
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A07_777172	1	106024055	107800807	1190	-0.1303
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A07_777172	1	107801327	107801959	2	-2.0364
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A07_777172	1	107801974	108729759	747	-0.145
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A07_777172	1	108734235	108734877	2	-2.9023
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A07_777172	1	108737496	110227515	725	-0.1437
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A07_777172	1	110232974	110240178	17	0.8871
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A07_777172	1	110242953	112696087	1956	-0.1781
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A07_777172	1	112696193	112696873	13	0.4736
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A07_777172	1	112696963	144081043	5224	-0.1461
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A07_777172	1	144471986	144472001	2	1.7224
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A07_777172	1	144527147	145151728	158	-0.3401
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A07_777172	1	145151959	145156398	10	0.4449
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A07_777172	1	145156462	145436659	79	-0.5621
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A07_777172	1	145439650	146547985	197	-0.1057
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A07_777172	1	146548042	146552696	4	-1.6147
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A07_777172	1	146556406	148893345	676	-0.1619
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A07_777172	1	148906617	149242663	124	-0.5607
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A07_777172	1	149242725	149249447	19	0.1513
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A07_777172	1	149254329	149834778	111	-0.5536
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A07_777172	1	149834817	152759678	1617	-0.1468
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A07_777172	1	152761923	152778558	42	0.3341
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A07_777172	1	152778576	194448234	28038	-0.1586
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A07_777172	1	194451411	194455018	2	2.0514
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A07_777172	1	194457016	194941560	275	-0.1186
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A07_777172	1	194941696	194941775	2	-2.169
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A07_777172	1	194941923	196714873	1175	-0.1414
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A07_777172	1	196727850	196762102	44	-1.0859
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A07_777172	1	196767412	228534850	21091	-0.161
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A07_777172	1	228535364	228544236	4	-1.7307
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A07_777172	1	228544674	249224388	14816	-0.1608
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A07_777172	2	12784	34691069	24082	0.3042
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A07_777172	2	34699315	34740757	51	0.6577
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A07_777172	2	34740799	36332258	1146	0.1546
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A07_777172	2	36335595	36335606	8	-0.7727
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A07_777172	2	36336619	89343987	34696	0.1391
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A07_777172	2	89355435	89355446	2	-2.078
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A07_777172	2	89358038	90274766	227	-0.0168
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A07_777172	2	90301264	91801484	52	-0.4282
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A07_777172	2	91807739	106885357	6583	0.1211
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A07_777172	2	106887255	106887408	2	-1.9588
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A07_777172	2	106887870	117721437	5851	0.127
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A07_777172	2	117721562	117735888	30	0.5666
