Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	61735	356542	29	-0.6957
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	404171	16149915	8390	0.0349
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	16153497	16153925	6	-2.6087
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	16154201	16155010	4	-0.8096
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	16165661	60977302	26388	0.0486
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	60983201	60985386	5	-1.2108
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	60987065	62114006	853	0.0443
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	62114951	62118187	2	-5.4267
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	62119809	65873828	2781	0.0482
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	65873872	65937065	35	0.3614
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	65939158	70731885	3238	0.0443
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	70736567	70790308	20	0.4793
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	70792304	72756142	1301	0.0298
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	72756174	72809372	49	0.3815
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	72809431	87028669	9358	0.0255
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	87028855	87039945	11	-1.0995
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	87040567	92193264	3400	0.0414
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	92193662	92195652	2	-1.9986
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	92196053	106021381	8289	0.0346
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	106021627	106022090	6	-0.8556
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	106022344	108557705	1798	0.048
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	108559034	108565591	3	-1.1039
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	108567998	110225642	860	0.0803
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	110225920	110232974	13	-0.5176
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	110233037	110242953	17	-1.3602
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	110244998	110431020	134	0.0833
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	110431422	110431514	2	-1.5824
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	110433921	111370395	696	0.0381
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	111370497	111412235	79	0.3286
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	111412279	112696273	1050	0.0452
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	112696308	112706128	27	0.6505
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	112706140	121089508	5098	0.0583
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	121120602	121129349	3	-1.4754
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	121130963	149024802	1273	0.0613
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	149024808	149521840	165	-0.6446
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	149521846	150673364	448	0.0332
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	150673468	150674447	9	0.6583
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	150676281	152555176	1040	0.0533
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	152555527	152586540	34	0.7056
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	152586576	152762008	177	0.0103
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	152762046	152767864	23	1.0845
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	152767884	158866573	3634	0.052
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	158868501	158869759	2	1.8452
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	158874818	182070471	16207	0.0531
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	182070728	182071408	3	-1.5645
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	182074769	196714873	9731	0.0293
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	196727850	196732086	4	-2.6779
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	196738623	196758120	33	0.3257
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	196758149	196762066	6	-1.1339
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	196762102	196801428	42	0.1218
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	196801442	196815791	11	0.7278
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	196816730	210071062	8824	0.0527
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	210081613	210083984	3	-2.623
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	210086552	248736075	26957	0.0409
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	248737447	248809109	38	-0.5636
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	1	248809369	249224388	141	0.0748
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	2	12784	1297772	850	0.028
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	2	1298915	1314780	14	-0.8702
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	2	1315313	4913966	2749	0.0203
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	2	4913984	4916604	8	-0.9139
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	2	4916795	13984710	6876	0.0227
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_F10_568922	2	13986224	13986304	2	-1.6625
