Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	1	61735	761368	48	-0.0473
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	1	761732	768793	4	-1.1652
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	1	777122	7554982	3627	0.0334
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	1	7557152	7567037	11	-0.7956
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	1	7571598	16153497	4727	0.0371
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	1	16153536	16155010	9	0.6944
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	1	16165661	72768916	34598	0.0214
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	1	72768936	72817021	49	-0.7654
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	1	72818599	87998347	9922	-0.0038
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	1	88004415	88039053	21	0.7352
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	1	88039284	106013376	11064	2e-04
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	1	106019205	106022344	15	0.769
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	1	106022360	110227515	2669	0.0087
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	1	110232974	110244998	19	0.523
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	1	110246126	144849552	7219	0.0161
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	1	144865627	144949975	70	0.5067
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	1	144957688	145091196	52	0.0567
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	1	145091858	248737447	68302	0.4767
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	1	248749194	248797213	33	-0.3057
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	1	248805339	249224388	145	0.4651
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	2	12784	34691069	24087	0.0042
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	2	34699315	34737163	47	-1.3625
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	2	34737556	52754881	13043	0.0059
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	2	52758753	52790140	35	-0.4181
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	2	52790493	110983681	31845	0.0011
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	2	111037146	111037308	2	-1.9724
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	2	111038563	146864443	21730	0.0025
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	2	146864457	146866934	21	-1.6249
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	2	146877806	163226234	9763	-0.0145
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	2	163228168	163228751	2	-1.6404
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	2	163230185	208350262	27206	-0.0087
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	2	208350319	208358949	18	0.4192
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	2	208359025	227342038	12324	-0.0047
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	2	227342788	227346068	5	-1.4272
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	2	227347799	241018814	8805	0.0066
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	2	241021885	241022359	2	-1.4173
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	2	241029498	243089456	993	0.0104
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	3	60345	224602	157	0.272
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	3	230022	232800	4	-3.2797
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	3	234877	6646543	5680	0.2961
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	3	6651128	6653332	23	-2.3967
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	3	6655078	26611497	14185	0.2852
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	3	26611607	26614984	21	-0.1642
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	3	26614985	68746164	27763	0.2852
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	3	68746259	68749052	18	0.6986
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	3	68749065	98397508	15643	0.2766
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	3	98407304	98407386	3	-0.6886
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	3	98407400	98937784	297	0.2988
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	3	98944458	98951383	40	-0.2519
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	3	98951834	129786739	18753	0.2858
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	3	129786753	129806236	42	0.8098
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	3	129806924	142834730	7991	0.2885
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	3	142841065	143419181	489	0.0126
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	3	143423990	147957013	2787	0.3007
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	3	147957707	148015041	25	-0.1072
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	3	148019200	148039764	9	0.2867
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	3	148040526	148123435	51	-0.0819
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	3	148126953	152342827	2770	0.2828
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	3	152347094	152356483	46	-0.3677
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	3	152356541	162508268	6118	0.2861
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	3	162512657	162625995	70	-1.2335
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	3	162626572	192880587	19198	0.2892
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	3	192880726	192882903	11	-1.1957
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	3	192886435	194542970	1088	0.3181
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	3	194545058	194546144	5	-0.6108
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	3	194550942	197896118	1614	0.2947
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	4	12281	5316735	2607	-0.3671
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	4	5319786	5320934	2	-2.8014
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	4	5323295	5650900	315	-0.3613
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	4	5652712	5774601	130	0.0142
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	4	5774868	7553353	1373	-0.3567
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	4	7553359	7553662	2	-2.2369
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	4	7556245	10210390	1356	-0.3646
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	4	10214160	10235268	36	0.7152
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	4	10236142	11953840	1548	-0.3663
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	4	11954403	12016634	40	-0.0538
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	4	12021139	12257457	132	-0.396
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	4	12260043	12295992	10	0.0568
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	4	12301343	12602542	240	0.3278
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	4	12605378	12641501	33	0.0403
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	4	12644336	12745134	82	0.3144
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	4	12745676	15603069	2172	0.0107
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	4	15603620	15668059	30	0.3336
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	4	15670565	16154996	413	0.0178
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	4	16156095	17038842	605	0.325
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	4	17039373	17897355	684	0.0299
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	4	17897725	18497777	358	-0.4059
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	4	18502355	18910397	257	-0.0039
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	4	18913705	19093088	120	-0.4342
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	4	19094936	19880119	469	0.0028
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	4	19880320	20480323	327	0.3091
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	4	20480356	28508324	5595	0.0108
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	4	28510523	34778860	3853	-0.398
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	4	34778962	34824725	44	0.2437
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	4	34829872	36014412	774	-0.4108
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	4	36014981	36015518	4	-2.3061
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	4	36017518	42565781	4306	-0.3956
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	4	42569787	42882348	252	0.0017
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	4	42884388	46348133	2023	-0.3859
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	4	46351278	46417178	43	0.339
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	4	46421876	49584109	1575	-0.3695
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	4	49589148	64688251	7580	0.0126
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	4	64688718	64716431	36	0.4649
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	4	64717026	69372003	2880	-0.0064
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	4	69374941	69558271	74	-0.3227
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	4	69582483	70123510	318	0.0629
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C03_808670	4	70127644	70231799	54	-0.6507
