Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B06_781760	1	61735	17005978	8776	-0.0131
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B06_781760	1	17011450	17276241	122	0.4559
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B06_781760	1	17277940	25583341	5271	-0.006
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B06_781760	1	25593128	25662212	31	0.6074
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B06_781760	1	25663310	46510353	11325	-0.0129
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B06_781760	1	46512275	46513826	2	1.8563
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B06_781760	1	46519553	72750353	17524	-0.0056
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B06_781760	1	72756113	72763370	9	-0.8603
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B06_781760	1	72768418	72811148	48	1.1273
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B06_781760	1	72811904	104225557	20110	-0.0101
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B06_781760	1	104225568	104303403	15	0.8502
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B06_781760	1	104303501	104890086	323	-0.0135
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B06_781760	1	104890901	104892674	2	-1.1319
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B06_781760	1	104892901	106013376	594	0.028
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B06_781760	1	106019205	106024055	18	-1.8015
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B06_781760	1	106024070	110227515	2671	-0.0218
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B06_781760	1	110232974	110242953	18	-0.7353
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B06_781760	1	110244998	112690211	1956	-0.0162
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B06_781760	1	112690248	112706060	29	0.3877
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B06_781760	1	112706062	149024808	6381	4e-04
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B06_781760	1	149036524	149202798	81	-0.862
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B06_781760	1	149202878	149209360	26	-0.3854
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B06_781760	1	149229086	149256691	26	-0.8607
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B06_781760	1	149259416	152555706	1529	0.0102
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B06_781760	1	152555767	152586594	34	-1.3645
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B06_781760	1	152590494	189648157	25030	-0.0117
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B06_781760	1	189648483	189648527	2	-2.2431
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B06_781760	1	189652047	193155792	2340	-0.0051
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B06_781760	1	193156279	193156348	4	0.7705
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B06_781760	1	193159723	194448234	947	-0.021
