Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	1	61735	86341	15	-0.623
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	1	98588	17005978	8753	0.0493
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	1	17011450	17012422	10	-0.7373
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	1	17012456	17045761	22	-0.3325
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	1	17048196	17056457	4	-0.8888
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	1	17076467	17190004	23	0.0654
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	1	17190862	17262247	62	-0.457
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	1	17276241	19604101	1672	-0.0734
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	1	19604134	19618629	6	-0.9211
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	1	19622270	25583341	3595	-0.1099
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	1	25593128	25646744	26	0.5262
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	1	25646946	104128618	48997	0.0253
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	1	104128773	104178038	16	-0.3699
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	1	104221531	104261206	23	0.5494
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	1	104268222	106012754	919	0.0619
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	1	106013376	106022375	18	0.8047
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	1	106024055	107520030	1007	0.0671
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	1	107520098	107616823	49	-0.2626
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	1	107617707	110224427	1601	0.054
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	1	110225642	110246281	37	0.4631
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	1	110250235	111379820	854	0.07
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	1	111380020	111401704	40	0.2881
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	1	111401889	112695965	1058	0.0433
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	1	112696087	112697390	24	-0.3295
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	1	112705956	148789983	6362	0.052
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	1	148858445	149205429	115	0.2847
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	1	149205446	152555527	1565	0.049
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	1	152555706	152586576	34	-1.797
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	1	152586594	152763069	192	0.0535
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	1	152767467	152773905	18	-0.3924
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	1	152776755	158866573	3622	0.0404
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	1	158868501	158869759	2	1.3827
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	1	158874818	169216937	7721	0.0443
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	1	169233974	169241766	7	0.7949
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	1	169242401	174796556	3526	0.0455
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	1	174796699	174801854	16	-0.578
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	1	174801872	187715854	8685	0.0503
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	1	187717560	187721369	2	-1.7112
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	1	187724610	249224388	42035	0.0498
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	2	12784	4205687	2989	0.0649
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	2	4213864	4224019	42	-0.5819
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	2	4230062	10140995	4682	0.0375
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	2	10141191	10154972	4	1.1182
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	2	10157774	14703694	3330	0.0362
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	2	14704949	14710092	12	-1.0788
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	2	14710364	17538496	2064	0.034
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	2	17539064	17544144	2	-1.3623
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	2	17545870	35975973	11914	0.0394
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	2	35977790	35987916	6	-1.7491
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	2	35987947	38955866	2322	0.0486
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	2	38956947	38972281	7	0.8696
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	2	38972826	52754468	9836	0.0411
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	2	52754480	52781542	39	0.6216
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	2	52787949	76025917	15019	0.0292
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	2	76031098	76114413	49	-0.2708
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	2	76116683	86360573	6533	0.0425
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	2	86360809	86379941	14	0.4683
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	2	86380517	86583240	151	0.0469
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	2	86583472	86583630	2	1.2943
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	2	86583721	89238063	1003	0.0531
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	2	89239724	89311539	40	0.3383
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	2	89313704	89934959	80	0.0655
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	2	89936766	91627978	165	-0.4823
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	2	91628496	137982148	25113	0.0457
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	2	137983647	137985285	6	-0.7582
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	2	137989090	146052748	4994	0.0384
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	2	146053079	146055981	2	-1.953
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	2	146056286	208354955	37500	0.0495
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	2	208355178	208359336	16	-0.9697
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	2	208359476	229757006	13902	0.0464
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	2	229759479	229759913	8	-0.9742
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	2	229760083	243089456	8239	0.0452
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	3	60345	29433099	21999	-0.0859
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	3	29437405	29438573	6	-1.2569
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	3	29439460	75568549	30812	-0.0875
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	3	75572549	75586805	6	-2.1346
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	3	75595181	95456106	9159	-0.0872
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	3	95466880	95468110	2	0.9354
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	3	95468680	98944458	1855	-0.109
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	3	98944476	98953761	43	0.2322
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	3	98964877	119350345	12639	-0.0829
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	3	119351398	119353938	5	-1.1786
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	3	119355411	129791209	6116	-0.1001
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	3	129791348	129819638	44	-0.3395
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	3	129828078	161453244	19563	-0.0617
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	3	161453946	161454572	2	-1.6094
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	3	161455972	162508268	718	-0.0477
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	3	162512657	162625980	69	0.2603
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	3	162625995	175080611	7670	-0.0511
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	3	175080747	175081325	5	-1.1273
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	3	175086788	192874747	11531	-0.0657
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	3	192877902	192882903	20	-1.1737
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	3	192886435	195390680	1488	-0.0594
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	3	195399075	195474763	45	-0.4901
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	3	195478694	197896118	1171	-0.03
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	4	12281	9456977	5249	-0.1024
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	4	9461230	9479345	9	0.9235
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	4	9486087	10210390	545	-0.1389
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	4	10223416	10235268	35	-1.7871
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	4	10236142	10390715	171	-0.1351
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	4	10392354	10400668	16	0.3809
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	4	10402718	34779054	16816	-0.0997
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	4	34786500	34821340	36	0.6593
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	4	34824183	49093786	8976	-0.0939
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	4	49114095	49309854	21	-0.5356
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	4	49503166	58049193	3564	-0.105
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	4	58051648	58100571	40	0.4731
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	4	58102424	70105229	7290	-0.0946
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	4	70105446	70232124	67	-0.6161
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	4	70236151	70389716	109	-0.1025
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	4	70389861	70390779	2	-2.1013
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	4	70391888	86970242	10339	-0.0937
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	4	86970401	86979944	23	-0.784
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	4	86980089	138092195	30186	-0.094
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	4	138092239	138092926	11	-0.8958
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	4	138092938	161946759	14858	-0.0936
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	4	161952228	162003266	43	0.5056
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	4	162006824	172987928	6988	-0.0899
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_E05_747844	4	172989148	172989505	10	0.7563
