Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C09_569054	1	61735	10367130	5172	-0.2479
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C09_569054	1	10367209	10377983	21	0.4376
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C09_569054	1	10381772	10670891	175	-0.2076
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C09_569054	1	10671420	10679721	3	-1.9247
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C09_569054	1	10681806	12867966	1153	-0.2447
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C09_569054	1	12873385	13182599	19	0.5722
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C09_569054	1	13185738	17190862	2252	-0.2162
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C09_569054	1	17195155	17261211	54	-0.9438
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C09_569054	1	17261248	35102654	10250	-0.2122
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C09_569054	1	35102670	35104491	19	0.614
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C09_569054	1	35114268	49674050	8275	-0.2191
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C09_569054	1	49677615	50440269	290	-0.7761
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C09_569054	1	50441469	63196278	8616	-0.2106
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C09_569054	1	63201577	63201757	2	-2.1774
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C09_569054	1	63202025	85597462	15035	-0.234
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C09_569054	1	85598627	85615880	15	-1.0714
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C09_569054	1	85617574	85979932	235	-0.1819
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C09_569054	1	85980350	86003166	11	0.483
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C09_569054	1	86006009	110225965	15049	-0.2339
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C09_569054	1	110226004	110246281	34	0.4575
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C09_569054	1	110250235	120111619	6691	-0.2232
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C09_569054	1	120112055	120150683	50	0.4964
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C09_569054	1	120150949	121482979	403	-0.1405
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C09_569054	1	144007049	149677141	1373	0.7386
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C09_569054	1	149691264	149875831	77	1.1477
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C09_569054	1	149876124	150800761	433	0.7354
