Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E09_808652	1	61735	9334714	4700	0.0775
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E09_808652	1	9335745	9357724	12	-0.4219
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E09_808652	1	9357960	62114006	30937	0.0937
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E09_808652	1	62114181	62118187	3	-2.9792
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E09_808652	1	62119809	72750353	7366	0.1166
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E09_808652	1	72756113	72763370	9	-0.6348
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E09_808652	1	72768418	72811148	48	1.4836
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E09_808652	1	72811904	104239689	20092	0.109
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E09_808652	1	104239986	104303403	13	-0.3517
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E09_808652	1	104303501	106013376	918	0.1039
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E09_808652	1	106019205	106022375	17	-1.6032
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E09_808652	1	106024055	110227500	2669	0.1287
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E09_808652	1	110227515	110240178	18	-0.788
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E09_808652	1	110242953	112690326	1955	0.1116
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E09_808652	1	112695965	112696537	8	-0.4331
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E09_808652	1	112696553	112697188	12	-0.013
