Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B07_808630	1	61735	2325634	465	-0.1477
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B07_808630	1	2326618	27424905	14457	-0.4167
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B07_808630	1	27433460	72756113	28067	-0.0755
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B07_808630	1	72756142	72768498	10	-0.7687
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B07_808630	1	72768916	72811148	46	0.8009
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B07_808630	1	72811904	104132359	20073	-0.108
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B07_808630	1	104155643	104268222	36	-0.9054
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B07_808630	1	104303403	106013376	918	-0.1158
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B07_808630	1	106019205	106024090	20	0.4669
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B07_808630	1	106024137	106049490	28	0.0339
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B07_808630	1	106052011	106064036	9	0.4465
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B07_808630	1	106064220	108729759	1901	-0.0922
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B07_808630	1	108734235	108737496	3	-1.1399
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B07_808630	1	108739104	110227515	725	-0.0686
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B07_808630	1	110232974	110240178	17	-0.9807
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B07_808630	1	110242953	112696087	1957	-0.0786
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B07_808630	1	112696193	112706082	27	0.3049
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B07_808630	1	112706118	121343796	5175	-0.0885
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B07_808630	1	121355881	152759678	3065	0.3628
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B07_808630	1	152761923	152768700	37	-0.0818
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B07_808630	1	152773905	169216937	11341	0.388
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B07_808630	1	169233974	169241766	7	1.1736
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B07_808630	1	169242401	210071062	27118	0.3742
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B07_808630	1	210081613	210082065	2	-1.709
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B07_808630	1	210083984	249224388	27122	0.3798
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B07_808630	2	12784	4205687	2990	-0.1068
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B07_808630	2	4213864	4224019	42	0.3079
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B07_808630	2	4230062	34691069	21071	-0.0842
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B07_808630	2	34699315	34737057	46	-0.512
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B07_808630	2	34737163	41238235	4825	-0.0857
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B07_808630	2	41238443	41243339	19	-0.5019
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B07_808630	2	41243427	64038711	15439	-0.0834
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B07_808630	2	64046961	64047608	2	-4.5865
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B07_808630	2	64047944	64053562	2	-1.7945
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B07_808630	2	64054777	76551849	8122	-0.0815
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B07_808630	2	76552277	76569497	23	0.2766
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B07_808630	2	76570153	87128201	6647	-0.1001
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B07_808630	2	87129203	87309263	14	-0.7028
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B07_808630	2	87309834	87761615	139	-0.1436
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B07_808630	2	87763297	87787148	8	-0.8105
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B07_808630	2	87788679	116530428	12682	-0.0838
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B07_808630	2	116532520	116583565	36	0.2454
