Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A05_831376	1	61735	356542	29	-0.0126
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A05_831376	1	404171	16149343	8373	-0.353
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A05_831376	1	16149915	16171036	17	0.221
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A05_831376	1	16176764	16344827	77	-0.3619
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A05_831376	1	16345255	16374330	6	-0.9468
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A05_831376	1	16379331	17190004	316	-0.3369
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A05_831376	1	17190862	17224970	12	-0.8246
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A05_831376	1	17225225	17235698	6	-0.1385
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A05_831376	1	17235852	17262247	44	-0.7087
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A05_831376	1	17276241	32082000	8558	-0.354
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A05_831376	1	32085637	72750353	25555	0.3081
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A05_831376	1	72756113	72763370	9	-0.7658
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A05_831376	1	72768418	72811148	48	1.268
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A05_831376	1	72811904	76169775	2014	0.2923
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A05_831376	1	76174149	76174752	5	-0.4734
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A05_831376	1	76177994	92907074	11108	0.3012
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A05_831376	1	92907238	95939767	1977	0.0486
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A05_831376	1	95947234	98263127	1368	0.2917
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A05_831376	1	98268360	99456080	671	0.023
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A05_831376	1	99458938	100508562	754	0.2925
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A05_831376	1	100510674	101851980	820	0.0165
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A05_831376	1	101859057	104225557	1368	0.2865
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A05_831376	1	104225568	104303403	15	0.9347
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A05_831376	1	104303501	107385511	1845	0.2856
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A05_831376	1	107387893	108729759	1033	0.023
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A05_831376	1	108734235	108737496	3	-2.7285
