Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	1	61735	16869363	8714	0.1051
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	1	16871278	17005776	44	-0.6873
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	1	17005978	17016872	17	0.3343
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	1	17016880	17248398	78	-0.2044
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	1	17253375	25583341	5290	0.1227
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	1	25593128	25611452	14	0.8101
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	1	25616296	70964569	27689	0.1078
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	1	70965286	70972133	5	-0.7252
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	1	70972147	72768916	1168	0.0822
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	1	72768936	72811133	44	-1.0681
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	1	72811148	104159384	20079	0.0899
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	1	104163499	104225568	14	-0.3982
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	1	104239689	104303403	14	0.4622
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	1	104303501	106019205	920	0.0748
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	1	106019236	106022375	16	0.5145
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	1	106024055	110232974	2668	0.1029
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	1	110233037	110242953	17	0.8692
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	1	110244998	112690326	1956	0.098
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	1	112695965	112697012	18	-0.4326
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	1	112697174	114831965	1335	0.1031
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	1	114833626	114833710	2	-0.9658
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	1	114833802	144949975	3983	0.1026
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	1	144957688	145074553	45	-0.3373
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	1	145079996	145151728	33	0.0715
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	1	145151959	145152018	3	-0.6085
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	1	145152050	152555706	2639	0.0866
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	1	152555767	152586540	32	2.0528
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	1	152586576	152762046	178	0.0945
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	1	152762257	152768700	32	0.4929
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	1	152773905	174796405	14864	0.1011
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	1	174796556	174801840	16	-0.7198
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	1	174801854	182082972	4944	0.0991
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	1	182084976	182087336	6	-0.5868
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	1	182087977	196812507	9804	0.0603
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	1	196812530	196815791	2	-2.6336
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	1	196816730	222366668	17427	0.0605
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	1	222374834	222377004	2	-2.8254
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	1	222382134	249224388	18493	0.0686
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	2	12784	34691069	24092	0.0822
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	2	34699315	34737163	47	0.6174
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	2	34737556	84725380	33708	0.0879
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	2	84725833	84732634	5	-0.4829
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	2	84733314	98118212	3422	0.0819
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	2	98140747	98161710	8	-0.7595
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	2	98162189	106880095	5576	0.0868
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	2	106880713	106887255	12	0.5645
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	2	106887408	133021237	15062	0.0892
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	2	133034377	133117260	33	0.4609
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	2	133121946	243089456	67990	0.0857
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	3	60345	6317359	5580	0.041
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	3	6319263	6335472	19	0.6689
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	3	6338436	61047277	36245	0.0661
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	3	61047401	61356250	253	-0.2297
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	3	61356490	68746284	5737	0.0721
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	3	68746446	68747413	12	-0.4392
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	3	68748758	75421170	4870	0.0512
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	3	75427107	75639507	73	-1.2092
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	3	75645384	129786209	29786	0.0527
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	3	129786286	129792995	30	-1.6625
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	3	129793446	129793654	3	-3.6535
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	3	129793973	129806236	12	-1.3353
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	3	129806924	133541774	2473	0.0563
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	3	133543794	133543917	2	-1.16
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	3	133546067	135219964	1140	0.0401
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	3	135222642	135222871	2	-1.5589
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	3	135223322	136019099	412	0.0591
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	3	136022951	136025426	2	-1.4675
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	3	136038541	162508268	16246	0.0554
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	3	162512657	162625995	70	-0.7508
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	3	162626572	179773302	10666	0.0565
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	3	179773493	179776201	2	-1.4816
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	3	179776782	192874747	8521	0.0608
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	3	192877902	192882757	16	-0.3989
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	3	192882772	194660610	1190	0.0809
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C03_777112	3	194661953	194669596	2	-1.1501
