Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G05_568960	1	61735	228706	18	-0.7188
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G05_568960	1	228729	17005978	8756	0.0367
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G05_568960	1	17011450	17262232	120	-0.5156
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G05_568960	1	17262247	19586967	1670	-0.0826
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G05_568960	1	19604101	19627006	11	-0.7648
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G05_568960	1	19631227	25583341	3590	-0.1157
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G05_568960	1	25593128	25646744	26	0.6219
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G05_568960	1	25646946	30726574	2393	-0.1173
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G05_568960	1	30726693	30734036	8	-0.9182
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G05_568960	1	30737373	106013376	47554	0.0413
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G05_568960	1	106019205	106022375	17	0.9497
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G05_568960	1	106024055	107523611	1010	0.0695
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G05_568960	1	107523731	107631196	57	-0.2869
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G05_568960	1	107634116	110233053	1605	0.066
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G05_568960	1	110233118	110240178	14	0.6514
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G05_568960	1	110242953	111331000	806	0.0406
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G05_568960	1	111331645	111418217	110	0.3425
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G05_568960	1	111418286	112690326	1041	0.0451
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G05_568960	1	112695965	112696193	3	-1.2342
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G05_568960	1	112696273	112697390	22	-0.1368
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G05_568960	1	112705956	112706205	11	0.7086
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G05_568960	1	112706213	147420754	6249	0.0609
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G05_568960	1	147478446	147554183	2	-1.8603
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G05_568960	1	147554301	152555527	1781	0.0636
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G05_568960	1	152555706	152590494	36	-2.1586
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G05_568960	1	152590565	158866573	3830	0.0467
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G05_568960	1	158868501	158869759	2	2.0959
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G05_568960	1	158874818	169216937	7721	0.057
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G05_568960	1	169233974	169241766	7	1.31
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G05_568960	1	169242401	193155792	15808	0.0616
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G05_568960	1	193156279	193156348	4	1.6417
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G05_568960	1	193159723	196731035	2404	0.0686
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G05_568960	1	196731610	196749181	24	-0.6313
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G05_568960	1	196749217	248683402	35849	0.0594
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G05_568960	1	248687802	248797213	49	0.4475
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G05_568960	1	248805339	249224388	145	0.0794
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G05_568960	2	12784	4205687	2991	0.031
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G05_568960	2	4213864	4230062	43	-0.8571
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G05_568960	2	4234782	8101337	3237	0.036
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G05_568960	2	8102115	8120500	27	-0.3763
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G05_568960	2	8122710	14703694	4758	0.0511
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G05_568960	2	14704949	14710021	11	-1.4234
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G05_568960	2	14710092	32680490	11573	0.0496
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G05_568960	2	32681326	32843980	77	0.3179
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G05_568960	2	32846315	35975973	2336	0.0576
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G05_568960	2	35977790	35987916	6	-1.6932
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G05_568960	2	35987947	52741737	12163	0.0563
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G05_568960	2	52743925	52781542	41	0.8104
