Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B05_569204	1	61735	98602	17	1.1116
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B05_569204	1	228706	16851514	8674	-0.0755
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B05_569204	1	16869363	17005978	45	0.6163
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B05_569204	1	17011450	25583341	5384	-0.0549
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B05_569204	1	25593128	25663344	33	0.9932
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B05_569204	1	25673154	46359348	11218	-0.0682
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B05_569204	1	46359579	46471984	60	0.3628
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B05_569204	1	46475150	62112763	10166	-0.0026
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B05_569204	1	62113102	62118187	5	-2.0275
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B05_569204	1	62119809	72768916	7376	0.0188
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B05_569204	1	72768936	72811904	46	-1.6713
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B05_569204	1	72812440	83816477	7097	0.011
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B05_569204	1	83825577	83825590	2	-2.6569
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B05_569204	1	83828273	102816541	12329	0.0233
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B05_569204	1	102818617	102830022	22	-0.6373
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B05_569204	1	102830435	111377368	5123	0.0095
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B05_569204	1	111377565	111388226	38	-2.9129
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B05_569204	1	111392067	112696087	1075	-0.0416
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B05_569204	1	112696193	112706062	26	0.6134
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B05_569204	1	112706082	152555527	8034	0.0204
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B05_569204	1	152555706	152586238	30	2.521
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B05_569204	1	152586278	160146173	4676	-0.0231
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B05_569204	1	160146494	160146943	4	-1.6461
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B05_569204	1	160148671	166260511	4590	0.0086
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B05_569204	1	166261524	166262123	2	-2.1526
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B05_569204	1	166262787	196732086	20485	0.0086
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B05_569204	1	196738623	196789875	56	0.7561
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B05_569204	1	196790269	210071062	8849	-0.0031
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B05_569204	1	210081613	210083984	3	-2.319
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B05_569204	1	210086552	248709670	26945	0.0067
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B05_569204	1	248713868	248808864	41	-0.7843
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B05_569204	1	248809109	249180846	119	0.0054
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B05_569204	1	249181459	249224388	23	0.5308
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B05_569204	2	12784	3147136	2175	-0.0909
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B05_569204	2	3147861	3203852	72	-0.6552
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B05_569204	2	3204203	4205687	733	-0.0562
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B05_569204	2	4213864	4230062	43	-0.5811
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B05_569204	2	4234782	37795000	23399	-0.0183
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B05_569204	2	37802996	37803051	2	-2.1931
