Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	1	61735	72768916	43030	-0.0123
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	1	72768936	72817021	49	-0.8586
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	1	72818599	106019205	21023	0.0079
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	1	106019236	106022375	16	-1.7632
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	1	106024055	110232974	2672	0.0128
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	1	110233037	110246281	23	-0.8463
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	1	110250235	110361682	82	2e-04
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	1	110361721	110363019	2	-1.2375
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	1	110363936	112690326	1865	0.004
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	1	112695965	112697213	22	-1.5694
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	1	112697241	145157461	5408	0.0027
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	1	145158421	145390114	55	-0.4437
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	1	145390170	155180466	4163	-0.0023
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	1	155189160	155201064	11	1.0498
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	1	155211667	169216937	9984	0.0158
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	1	169233974	169241766	7	-1.7647
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	1	169242401	249224388	54218	0.0085
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	2	12784	4205687	2988	-0.0091
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	2	4213864	4223167	36	-0.5127
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	2	4223512	34691069	21079	0.0032
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	2	34699315	34737163	47	0.5803
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	2	34737556	52736794	13030	0.0043
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	2	52737183	52781542	49	0.4147
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	2	52787949	98118212	24074	0.0015
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	2	98140747	98166878	10	-1.1254
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	2	98168606	108440736	6578	0.0075
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	2	108446969	108480907	2	-1.7275
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	2	108492088	146864429	22936	5e-04
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	2	146864443	146866934	22	0.7696
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	2	146877806	184793232	23293	0.0104
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	2	184793800	184802441	19	-0.6089
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	2	184808589	194949683	5703	0.0207
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	2	194949966	195002985	27	0.3803
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	2	195005907	242915552	29949	0.0038
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	2	242917306	243026258	100	-0.827
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	2	243029299	243089456	40	-0.133
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	3	60345	1960255	1734	0.0026
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	3	1966218	1982655	13	-0.7172
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	3	1988020	6646543	4090	0.012
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	3	6651128	6652079	11	-0.7332
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	3	6652113	26613201	14210	0.0068
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	3	26614974	26614985	8	-0.7742
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	3	26615949	46793377	13166	0.012
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	3	46801817	46849589	40	-0.6383
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	3	46859479	65188453	12088	0.0064
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	3	65189235	65210452	53	-0.5287
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	3	65216349	68746164	2422	0.0015
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	3	68746259	68747413	14	-1.1167
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	3	68748758	119350345	28618	0.0011
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	3	119351398	119353938	5	-1.0892
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	3	119355411	129785940	6106	0.0085
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	3	129786209	129806052	45	0.4012
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	3	129806236	131992773	1447	0.0024
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	3	131993236	131995684	2	-2.2656
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	3	132000477	143285765	6927	0.011
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	3	143285800	143285974	4	1.3304
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	3	143286801	162508192	11904	0.0068
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	3	162508268	162625995	71	0.6208
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	3	162626572	176455642	8531	0.0097
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	3	176456016	176456305	4	-1.2752
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C06_808712	3	176458909	192877902	10659	0.0033
