Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B10_781820	1	61735	16149915	8399	-0.1071
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B10_781820	1	16153497	16153925	6	-1.271
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B10_781820	1	16154201	16155010	4	-0.5443
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B10_781820	1	16165661	16968374	333	-0.0826
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B10_781820	1	16968473	17005776	10	-0.402
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B10_781820	1	17005978	17012741	13	0.5337
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B10_781820	1	17012785	17190004	47	-0.1732
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B10_781820	1	17190862	17257943	45	0.2746
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B10_781820	1	17258139	25583341	5282	-0.0866
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B10_781820	1	25593128	25662212	31	0.4693
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B10_781820	1	25663310	30382007	2096	-0.0805
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B10_781820	1	30382557	30384611	2	-1.7059
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B10_781820	1	30384652	30731522	290	-0.1184
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B10_781820	1	30731577	30738355	6	-0.9213
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B10_781820	1	30738432	30739796	6	-2.4589
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B10_781820	1	30741496	30747576	5	-0.8392
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B10_781820	1	30749660	31139580	327	-0.075
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B10_781820	1	31139947	31251264	83	-0.3703
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B10_781820	1	31251698	34656384	1806	-0.085
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B10_781820	1	34656812	34657303	2	-1.8417
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B10_781820	1	34661652	36867234	1140	-0.0942
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B10_781820	1	36872665	36873318	4	-1.9466
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B10_781820	1	36874242	72750353	23036	-0.0983
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B10_781820	1	72756113	72763370	9	-2.3492
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B10_781820	1	72768418	72811148	48	0.7584
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B10_781820	1	72811904	88739923	10496	-0.1206
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B10_781820	1	88740566	88740831	3	-1.8784
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B10_781820	1	88740865	104103230	9552	-0.1171
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B10_781820	1	104109238	104159384	27	0.4519
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B10_781820	1	104163499	110227515	3633	-0.1073
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B10_781820	1	110232974	110240178	17	-1.0322
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B10_781820	1	110242953	112690326	1956	-0.0974
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B10_781820	1	112695965	112697213	22	0.2901
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B10_781820	1	112697241	148870937	6363	-0.1052
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B10_781820	1	148893345	149024808	15	-0.6621
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B10_781820	1	149036524	149256691	132	-1.6652
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B10_781820	1	149259416	149415966	25	-0.817
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B10_781820	1	149421517	149422459	3	-1.7857
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B10_781820	1	149422617	152555176	1495	-0.0965
