Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B09_730178	1	61735	12892508	6553	-0.0124
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B09_730178	1	12909977	12927856	8	0.7171
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B09_730178	1	12983506	17017078	2222	-0.011
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B09_730178	1	17017530	17048479	17	0.79
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B09_730178	1	17056457	17262232	85	0.2204
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B09_730178	1	17262247	22653550	3586	-0.0093
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B09_730178	1	22653875	22656404	2	-1.0565
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B09_730178	1	22658727	25602931	1691	0.0018
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B09_730178	1	25604466	25611452	4	-0.6807
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B09_730178	1	25616296	35091674	4978	-0.0273
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B09_730178	1	35102654	35104491	20	-0.6704
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B09_730178	1	35114268	72750353	23817	-0.0277
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B09_730178	1	72756113	72763370	9	-0.8736
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B09_730178	1	72768418	72811904	49	0.2178
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B09_730178	1	72812440	104158309	20062	-0.0409
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B09_730178	1	104159347	104178038	5	0.2288
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B09_730178	1	104221531	104225568	11	-0.9865
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B09_730178	1	104239689	104307258	18	0.2939
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B09_730178	1	104307696	106019205	916	-0.0489
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B09_730178	1	106019236	106022375	16	0.5352
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B09_730178	1	106024055	112690326	4641	-0.0299
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B09_730178	1	112695965	112697012	18	-1.7194
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B09_730178	1	112697174	112697241	5	-0.8011
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B09_730178	1	112697376	148870937	6363	-0.0065
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B09_730178	1	148893345	149545386	183	0.5392
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B09_730178	1	149548713	149645033	8	-0.2362
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B09_730178	1	149659890	149758024	21	0.4651
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B09_730178	1	149758041	152555706	1465	0.0252
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B09_730178	1	152555767	152586594	34	1.9132
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B09_730178	1	152590494	152762515	181	-0.0079
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B09_730178	1	152762656	152768338	23	0.3417
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B09_730178	1	152768359	196739972	29519	-0.0069
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B09_730178	1	196740211	196823317	88	0.3054
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B09_730178	1	196823613	199107702	1374	-0.0203
