Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	61735	98588	16	-0.77
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	98602	15489682	7978	-0.1525
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	15489799	15490190	6	0.5908
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	15490286	15983301	328	-0.1845
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	15985306	16080171	42	0.165
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	16087824	16896821	366	-0.1454
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	16903726	17005734	37	-0.6786
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	17005776	17045577	33	-0.0936
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	17045761	17209603	32	-0.7187
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	17210652	17282425	61	0.2388
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	17283075	55856654	21941	-0.1584
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	55860561	55870348	12	-0.909
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	55874630	72768916	12208	-0.1834
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	72768936	72812440	47	-1.2592
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	72816755	81598723	5565	-0.211
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	81599116	81639269	25	-0.6136
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	81639709	92193264	7168	-0.1943
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	92193662	92195652	2	-2.1736
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	92196053	95151467	1743	-0.1755
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	95151501	95152850	12	-0.739
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	95155385	96126446	704	-0.1429
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	96126965	99997165	2336	-0.715
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	100000746	105708018	3301	-0.1904
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	105711107	106013376	179	-0.7576
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	106019205	106019310	3	0.4966
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	106019370	106022360	13	0.0137
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	106022375	109737063	2405	-0.7041
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	109737802	110232974	257	-0.1727
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	110233037	110234628	10	1.3869
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	110235032	110240178	6	0.4862
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	110242953	111781131	1148	-0.1862
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	111781886	111832205	82	-0.7402
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	111834065	111834489	7	0.2987
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	111834733	112696193	720	-0.7283
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	112696273	112697241	20	0.1068
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	112697376	119784841	4455	-0.6904
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	119789055	145372563	1005	-0.0986
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	145382124	148575561	877	0.4228
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	148585337	148858445	24	0.0192
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	148870400	152555176	1679	0.4019
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	152555527	152590494	37	1.145
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	152590565	152759678	170	0.4158
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	152761923	152768700	37	-1.1527
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	152773905	158866573	3624	0.4051
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	158868501	158869759	2	-1.3253
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	158874818	161478536	1645	0.3877
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	161478751	161637956	55	0.6605
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	161638201	169216937	6023	0.4117
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	169233974	169241766	7	-1.7691
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	169242401	196714873	18217	0.4011
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	196727850	196815791	96	-0.3215
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	196816730	199111426	1382	0.3966
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	199111521	199113011	6	-0.9951
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	199113840	202567272	2311	0.4052
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	202567553	202567786	3	1.9121
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	202568542	248725234	32098	0.4025
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	248736075	248789692	27	0.7776
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	1	248789873	249224388	153	0.4457
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	2	12784	4913700	3611	-0.181
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	2	4913923	4916604	10	-0.9173
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_D08_585368	2	4916795	8101337	2649	-0.1917
