Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B04_831458	1	61735	25583341	14157	0.1451
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B04_831458	1	25593128	25646986	28	-1.085
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B04_831458	1	25661501	35102654	4970	0.1404
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B04_831458	1	35102670	35104491	19	-0.5069
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B04_831458	1	35114268	40785263	3060	0.1311
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B04_831458	1	40786452	40788961	2	1.9021
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B04_831458	1	40790678	46510353	3269	0.139
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B04_831458	1	46512275	46513826	2	1.7118
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B04_831458	1	46519553	48715653	1354	0.1614
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B04_831458	1	48718742	48837337	53	-0.3619
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B04_831458	1	48841815	48844612	2	1.1713
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B04_831458	1	48845481	49325290	352	-0.4363
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B04_831458	1	49325816	74796526	16963	0.1106
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B04_831458	1	74798868	74799577	3	1.3497
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B04_831458	1	74800033	74806165	6	-0.4355
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B04_831458	1	74806552	81888456	4608	0.0685
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B04_831458	1	81888602	81888605	2	1.4494
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B04_831458	1	81888667	83829357	1316	0.0584
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B04_831458	1	83829675	83840442	9	-0.4637
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B04_831458	1	83840989	104158309	12962	0.1049
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B04_831458	1	104159347	104268222	29	-0.5274
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B04_831458	1	104303403	104335637	25	0.0826
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B04_831458	1	104343987	104351566	7	-0.725
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B04_831458	1	104360088	104378156	11	-0.2673
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B04_831458	1	104381295	104394036	8	-0.6832
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B04_831458	1	104400181	110220739	3536	0.1034
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B04_831458	1	110221727	110246130	37	-0.2724
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B04_831458	1	110246273	112690326	1948	0.1085
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B04_831458	1	112695965	112697213	22	-1.335
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B04_831458	1	112697241	145151728	5395	0.1196
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B04_831458	1	145151959	145156363	8	0.7766
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B04_831458	1	145156380	145372550	60	-0.1864
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B04_831458	1	145372563	148870937	903	0.1778
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B04_831458	1	148893345	149306068	155	-0.4769
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B04_831458	1	149336636	152575461	1537	0.1194
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B04_831458	1	152579449	152579468	2	2.0237
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B04_831458	1	152579621	152762046	184	0.1176
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B04_831458	1	152762257	152778443	35	0.6138
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B04_831458	1	152778526	158866573	3613	0.1258
