Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D05_781914	1	61735	98588	16	-0.678
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D05_781914	1	98602	16869363	8717	0.0596
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D05_781914	1	16871278	17016872	61	-0.2264
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D05_781914	1	17016880	17114712	39	-0.8052
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D05_781914	1	17177045	17209603	8	0.2263
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D05_781914	1	17210652	17261888	56	-0.266
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D05_781914	1	17262232	25583341	5277	0.0765
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D05_781914	1	25593128	25646946	27	-1.4675
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D05_781914	1	25646986	37334283	6086	0.0709
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D05_781914	1	37335233	37335551	2	-1.0323
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D05_781914	1	37337725	72759509	22776	0.1032
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D05_781914	1	72759524	72804578	38	0.4536
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D05_781914	1	72804738	104163787	20112	0.121
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D05_781914	1	104178038	104303403	26	-0.9167
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D05_781914	1	104303501	106013376	919	0.1303
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D05_781914	1	106019205	106022375	17	0.7576
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D05_781914	1	106024055	110227515	2671	0.1187
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D05_781914	1	110232974	110244998	19	-0.5835
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D05_781914	1	110246126	110256624	19	0.3392
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D05_781914	1	110260742	111376220	820	0.0895
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D05_781914	1	111377368	111388226	39	-0.5847
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D05_781914	1	111392067	112668457	1065	0.0911
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D05_781914	1	112668619	112669493	3	-0.8361
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D05_781914	1	112671286	112690326	11	0.1567
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D05_781914	1	112695965	112706082	29	0.4879
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D05_781914	1	112706118	147831183	6319	0.1213
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D05_781914	1	147844790	148636911	24	-0.3211
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D05_781914	1	148660826	149229843	144	0.0138
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D05_781914	1	149242663	149248841	19	0.5638
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D05_781914	1	149249447	152555706	1533	0.0951
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D05_781914	1	152555767	152586576	33	-1.4764
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D05_781914	1	152586594	152762008	176	0.0821
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D05_781914	1	152762046	152768700	33	0.6679
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D05_781914	1	152773905	161471384	5271	0.0923
