Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B10_808702	1	61735	707099	35	0.153
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B10_808702	1	712545	12839576	6491	-0.1008
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B10_808702	1	12841928	13543101	73	-0.5058
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B10_808702	1	13544175	16886135	2130	-0.0897
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B10_808702	1	16886193	16963545	25	-0.5099
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B10_808702	1	16963723	17012314	27	-0.1778
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B10_808702	1	17012422	17017078	9	-0.6232
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B10_808702	1	17017530	17045761	14	-1.3266
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B10_808702	1	17048196	17262247	89	-0.5526
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B10_808702	1	17276241	72768498	34148	-0.0879
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B10_808702	1	72768916	72811148	46	-1.0347
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B10_808702	1	72811904	248709616	99370	-0.0895
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B10_808702	1	248709670	248795289	36	-0.6518
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B10_808702	1	248795852	249224388	148	-0.0994
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B10_808702	2	12784	4203580	2987	-0.1399
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B10_808702	2	4205687	4222649	35	0.2196
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B10_808702	2	4222703	24606954	14922	-0.098
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B10_808702	2	24606982	24611128	14	-1.4888
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B10_808702	2	24611727	34691069	6146	-0.0981
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B10_808702	2	34699315	34737163	47	0.3997
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B10_808702	2	34737556	45769170	8110	-0.0869
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B10_808702	2	45769971	45770394	3	-1.9434
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B10_808702	2	45772725	52754468	4928	-0.0957
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B10_808702	2	52754480	52781542	39	-1.0109
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B10_808702	2	52787949	83422010	19878	-0.0986
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B10_808702	2	83423903	83424148	2	-1.6751
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B10_808702	2	83424531	98118212	4190	-0.0932
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B10_808702	2	98140747	98161710	8	-1.0687
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B10_808702	2	98162189	106880095	5575	-0.0875
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B10_808702	2	106880713	106885357	11	-1.4211
