Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	1	61735	16797756	8667	-0.011
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	1	16803776	17261211	179	-0.3441
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	1	17261248	37448631	11454	-7e-04
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	1	37449595	37454784	5	-1.754
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	1	37455658	78789453	26409	-0.0643
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	1	78789574	78795032	3	1.2052
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	1	78798739	81888456	2004	-0.0922
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	1	81888602	81888605	2	2.0746
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	1	81888667	83829675	1311	-0.1073
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	1	83829841	83834902	4	-1.3769
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	1	83835711	104159384	12943	-0.0891
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	1	104163499	104268222	27	-0.6342
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	1	104303403	149243523	12066	-0.0937
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	1	149245189	149248727	10	0.5063
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	1	149248841	152200849	1288	1e-04
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	1	152201217	152203270	2	2.0422
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	1	152203571	152555527	236	-0.0337
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	1	152555706	152586540	33	1.3193
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	1	152586576	152757690	171	-0.0276
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	1	152759678	152768700	38	0.4194
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	1	152773905	169581258	11572	0.0016
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	1	169581595	169583197	2	-2.1795
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	1	169583295	199107596	19392	-0.0099
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	1	199107653	199114390	13	-0.6687
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	1	199114747	249224388	34476	-0.0175
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	2	12784	12080908	9050	0.1837
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	2	12082596	12082685	2	-2.6335
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	2	12082958	34691069	15014	0.1891
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	2	34699315	34737163	47	0.6923
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	2	34737556	36335599	1155	0.1956
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	2	36335602	36335606	3	-0.9621
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	2	36336619	37972921	1282	0.2242
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	2	37978120	37989416	17	-0.358
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	2	37990079	52741737	10560	0.2061
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	2	52743925	52781326	34	0.6974
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	2	52781374	97846850	24012	0.1882
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	2	97846887	97949121	28	-0.4784
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	2	98013814	106880095	5591	0.1961
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	2	106880713	106883229	4	-0.6875
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	2	106883331	106887255	8	-2.6419
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	2	106887408	133034377	15049	0.1839
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	2	133034717	133117260	32	0.7231
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	2	133121946	146862085	8841	0.1813
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	2	146864404	146866934	24	-1.292
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	2	146877806	194949683	28997	0.1879
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	2	194949966	194989558	19	0.748
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	2	194989600	230825116	22561	0.1847
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	2	230827696	230829071	2	2.0783
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	2	230829594	243089456	7494	0.1872
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	3	60345	6646543	5836	0.0211
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	3	6651128	6655078	24	-0.6762
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	3	6655248	37977417	21768	0.0251
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	3	37982461	37986928	17	-2.4029
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	3	37987106	47400331	5814	0.036
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	3	47405305	47405451	2	-1.6006
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	3	47409212	47478509	26	-0.0675
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	3	47491822	47492720	2	-1.6972
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	3	47497214	65572570	12157	0.0307
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	3	65572698	65574439	3	-0.3487
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	3	65575011	129762859	36804	0.015
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	3	129763698	129806236	52	0.3327
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	3	129806924	140542539	6727	0.0065
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	3	140545701	140546984	2	-2.2315
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	3	140560618	162208419	13320	0.0047
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	3	162216629	162226794	30	-0.4794
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	3	162226807	162540490	197	0.0648
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	3	162545716	162587278	21	-0.4437
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	3	162587567	165508102	1682	-0.0059
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	3	165509241	165867803	202	0.4265
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	3	165880484	192874747	17312	0.0056
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	3	192877902	192882903	20	1.4808
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C06_777178	3	192886435	197896118	2701	-0.0176
