Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	1	61735	82315	10	-0.7916
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	1	82650	25583341	14145	-0.0885
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	1	25593128	25604466	11	-1.002
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	1	25605058	25611452	3	-3.6919
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	1	25616296	25645658	9	-0.7495
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	1	25646184	45973928	11064	-0.0864
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	1	45974126	72768916	17763	-0.3935
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	1	72768936	72816755	48	-0.9989
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	1	72817021	104159384	20059	-0.3883
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	1	104163499	104259444	23	-1.1787
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	1	104260032	108766355	2904	-0.3661
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	1	108769302	108817179	2	-2.1966
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	1	108828957	110227515	702	-0.3573
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	1	110232974	110240178	17	1.1422
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	1	110242953	110429022	130	-0.4224
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	1	110429114	110431020	2	-1.9231
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	1	110431422	112696273	1823	-0.402
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	1	112696308	112697213	18	0.2698
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	1	112697241	118929584	3964	-0.3894
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	1	118932325	152761923	4273	0.059
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	1	152761939	152778443	39	0.4958
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	1	152778526	169216937	11324	0.151
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	1	169233974	169241766	7	0.9204
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	1	169242401	195938400	17710	0.153
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	1	195939912	195949631	10	-0.4086
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	1	195950757	196812507	574	0.162
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	1	196812530	196815791	2	3.0638
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	1	196816730	249224388	35929	0.1474
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	2	12784	34691069	24110	0.1049
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	2	34699315	34737057	46	0.6056
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	2	34737163	35975973	877	0.1245
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	2	35977790	35986716	4	1.1337
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	2	35986908	55329528	14193	0.1155
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	2	55329541	55329701	2	-1.3097
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	2	55329719	76844466	13557	0.1089
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	2	76845173	76845426	5	-0.8445
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	2	76847586	86937687	6370	0.1203
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	2	86953070	86953854	2	-1.9572
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	2	86970406	97579395	1983	0.0676
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	2	97580766	99337309	795	-0.4624
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	2	99337650	106874649	4946	0.1125
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	2	106874722	106885357	13	-0.3939
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	2	106887255	126442223	11501	0.1094
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	2	126451651	126451913	2	-2.0815
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	2	126451932	130909061	2857	0.1077
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	2	130916872	131017523	30	0.4571
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	2	131021245	132146674	339	0.068
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	2	132148050	132279325	86	-0.582
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	2	132280836	133049342	253	0.0517
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	2	133051972	133117260	26	0.4831
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	2	133121946	146864429	8842	0.1029
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	2	146864443	146878410	25	0.6315
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	2	146878442	151031451	2258	0.1035
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A06_831392	2	151031534	151037732	4	-1.0892
