Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	1	61735	742293	41	-0.2667
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	1	745913	1628418	187	0.0688
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	1	1628826	1672603	15	0.5575
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	1	1687587	4443386	1184	-0.027
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	1	4444539	4444706	2	-1.9101
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	1	4445917	17190004	7371	-0.0597
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	1	17190862	17224970	12	-1.079
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	1	17225225	17284920	55	-0.4087
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	1	17286210	25583341	5249	-0.0389
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	1	25593128	25646946	27	-1.2622
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	1	25646986	45759287	10954	-0.0625
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	1	45761866	45804050	22	0.4079
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	1	45810091	62114181	10461	-0.047
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	1	62114951	62118187	2	-2.6625
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	1	62119809	68167491	4473	-0.058
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	1	68167815	68255001	65	0.342
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	1	68256929	72768916	2831	-0.0664
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	1	72768936	72811133	44	-0.9723
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	1	72811148	107235139	21800	-0.0676
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	1	107240612	107241002	2	-2.55
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	1	107242096	110227515	1869	-0.042
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	1	110232974	110242953	18	1.5112
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	1	110244998	204168856	44553	-0.0649
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	1	204170657	204209625	39	0.4498
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	1	204209991	229811169	17063	-0.0629
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	1	229816856	229820196	3	-2.7948
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	1	229820456	234961214	4046	-0.0571
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	1	234962529	235001174	40	0.7407
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	1	235005122	249224388	9938	-0.0771
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	2	12784	34691069	24075	0.3024
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	2	34699315	34737057	46	-1.3294
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	2	34737163	52754468	13022	0.3026
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	2	52754480	52781542	39	-1.505
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	2	52787949	86937687	21925	0.2962
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	2	86953070	86953854	2	-0.9915
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	2	86970406	90274766	1102	0.2136
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	2	90301264	91849290	60	-0.2797
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	2	91858949	98025647	977	0.2289
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	2	98063372	98190149	22	-0.5015
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	2	98203869	106874649	5565	0.3031
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	2	106874722	106887255	14	-0.2108
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	2	106887408	123477014	9545	0.3028
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	2	123479899	123482241	9	-0.6391
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	2	123483653	132714344	5432	0.2795
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	2	132719715	132943235	70	0.0043
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	2	132950083	141231854	5405	0.2998
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	2	141231988	141232306	4	-1.0702
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	2	141237995	146862085	3473	0.2675
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	2	146864404	146866934	24	-0.0699
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	2	146877806	168095806	12576	0.2914
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	2	168098062	168099775	3	-0.8359
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	2	168103701	199617826	19120	0.3012
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	2	199618370	199641923	24	0.8708
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	2	199644601	219393414	12409	0.2979
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	2	219397815	219513282	56	0.7526
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	2	219513547	228246529	5716	0.3067
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	2	228246688	228254272	5	1.0576
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	2	228258857	228560676	190	0.2903
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	2	228561253	229432620	592	0.848
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	2	229439057	243089456	8425	0.3184
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	3	60345	6646543	5840	-0.1055
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	3	6651128	6653244	22	-0.6429
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	3	6653332	22031153	10719	-0.0651
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	3	22031199	22039759	16	-0.6668
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	3	22039935	26613201	3440	-0.0873
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	3	26614974	26614985	8	-0.9462
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	3	26615949	47478509	13453	-0.0545
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	3	47491822	47492720	2	-1.7303
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	3	47497214	60264473	7484	-0.0666
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	3	60271725	60461416	196	-0.7656
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	3	60461630	60512703	73	-3.2362
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	3	60512889	60592860	89	-0.8109
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	3	60593028	60647490	52	-0.1015
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	3	60647540	60648069	2	-1.736
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	3	60654169	68746164	6378	-0.0569
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	3	68746259	68747329	12	-1.0363
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	3	68747364	98937784	15924	-0.0716
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	3	98944458	98949314	37	-0.5467
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B09_777082	3	98949421	135886788	22740	-0.0684
