Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B11_808688	1	61735	98588	16	0.1603
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B11_808688	1	98602	235938	11	-0.6801
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B11_808688	1	356443	16819633	8695	0.0558
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B11_808688	1	16820619	17005978	54	-0.289
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B11_808688	1	17011450	17112177	52	0.0216
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B11_808688	1	17114427	17225225	20	-0.4858
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B11_808688	1	17225367	17235698	5	0.5302
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B11_808688	1	17235852	17262247	44	-0.3717
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B11_808688	1	17276241	60361688	25513	0.0685
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B11_808688	1	60361793	60362547	2	-1.6425
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B11_808688	1	60363168	72773429	8640	0.1156
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B11_808688	1	72775134	72811076	36	0.6022
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B11_808688	1	72811133	110224384	23706	0.0954
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B11_808688	1	110224427	110242953	32	-0.6757
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B11_808688	1	110244998	112690326	1955	0.0493
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B11_808688	1	112695965	112706140	32	0.3932
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B11_808688	1	112706149	115974088	2060	0.0949
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B11_808688	1	115985027	115986104	2	-1.9589
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B11_808688	1	115990063	148789983	4291	0.1029
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B11_808688	1	148858445	149024802	17	-0.2693
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B11_808688	1	149024808	149254920	133	-0.6787
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B11_808688	1	149256691	149422617	30	-0.295
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B11_808688	1	149429206	152756774	1702	0.0739
