Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C11_781924	1	61735	16149915	8422	-0.0814
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C11_781924	1	16153497	16155010	10	0.4614
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C11_781924	1	16165661	17005978	346	-0.0488
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C11_781924	1	17011450	17056457	36	0.4553
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C11_781924	1	17076467	17182437	22	-0.1818
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C11_781924	1	17190004	17262247	63	0.4454
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C11_781924	1	17276241	72768916	34172	-0.0499
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C11_781924	1	72768936	72811148	45	0.9608
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C11_781924	1	72811904	79105229	3960	-0.0564
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C11_781924	1	79106899	79107327	3	-0.9707
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C11_781924	1	79111862	79727234	391	-0.0622
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C11_781924	1	79742193	79744293	2	1.1518
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C11_781924	1	79744972	104116349	15725	-0.0447
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C11_781924	1	104119105	104268222	47	-0.5365
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C11_781924	1	104303403	106019205	921	-0.0617
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C11_781924	1	106019236	106022375	16	-2.2934
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C11_781924	1	106024055	110227515	2672	-0.0441
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C11_781924	1	110232974	110240178	17	-0.6622
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C11_781924	1	110242953	111377368	842	-0.0575
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C11_781924	1	111377565	111383954	35	-0.5424
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C11_781924	1	111383972	112690326	1081	-0.0709
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C11_781924	1	112695965	112697390	25	0.4182
