Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_F10_781756	1	61735	2069681	379	-0.1534
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_F10_781756	1	2071738	2082814	8	-1.7107
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_F10_781756	1	2083329	6027733	2418	-0.2453
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_F10_781756	1	6029937	6031944	2	-3.421
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_F10_781756	1	6033868	25583341	11304	-0.1843
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_F10_781756	1	25593128	25646946	27	-1.7038
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_F10_781756	1	25646986	30726693	2387	-0.1762
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_F10_781756	1	30726727	30745210	19	-0.8152
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_F10_781756	1	30747576	50789051	11326	-0.1684
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_F10_781756	1	50790927	50791766	3	-2.2906
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_F10_781756	1	50794187	106000943	36052	-0.1793
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_F10_781756	1	106001360	106024055	25	0.4773
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_F10_781756	1	106024070	111359935	3500	-0.1851
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_F10_781756	1	111360545	111403495	77	0.1882
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_F10_781756	1	111403557	111928394	425	-0.1924
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_F10_781756	1	111929137	111933231	5	-1.2973
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_F10_781756	1	111935668	120523902	5688	-0.1789
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_F10_781756	1	120523955	152555176	2981	0.1586
