Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E02_585444	1	61735	16869363	8724	-0.2609
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E02_585444	1	16871278	17262247	166	-0.5672
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E02_585444	1	17276241	21631480	2941	-0.233
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E02_585444	1	21633967	21636796	2	-1.5325
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E02_585444	1	21637316	34277174	6687	-0.2501
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E02_585444	1	34277722	34277979	2	-1.5038
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E02_585444	1	34279742	35102654	632	-0.2071
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E02_585444	1	35102670	35104491	19	-0.8903
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E02_585444	1	35114268	75828440	25724	-0.2292
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E02_585444	1	75834454	76086775	139	0.6991
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E02_585444	1	76088640	76110106	23	0.9769
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E02_585444	1	76112662	77535272	1103	0.7288
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E02_585444	1	77544743	78505822	524	0.3394
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E02_585444	1	78506372	83804437	3496	-0.2451
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E02_585444	1	83812787	83815304	2	-2.6374
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E02_585444	1	83816477	83829357	7	-0.0773
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E02_585444	1	83829675	83829980	3	-1.1453
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E02_585444	1	83833922	85591670	1258	-0.239
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E02_585444	1	85594437	85594759	4	-1.1589
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_E02_585444	1	85597462	88843951	2216	-0.2276
