Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	1	61735	1628418	228	0.1028
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	1	1628826	1672603	15	-0.8706
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	1	1687587	13214448	6335	0.1919
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	1	13375345	13444502	17	-0.5914
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	1	13444682	15485314	1394	0.1844
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	1	15486454	15490286	14	0.8867
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	1	15495834	16149915	418	0.225
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	1	16153497	16153925	6	-2.5192
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	1	16154201	16909609	313	0.2066
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	1	16921719	16970456	34	-0.3664
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	1	17005734	17017078	21	0.282
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	1	17017530	17114712	37	-0.2348
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	1	17177045	61728597	26532	0.2166
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	1	61729721	61774819	28	-0.2883
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	1	61774969	72768916	7666	0.2296
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	1	72768936	72811148	45	-1.2763
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	1	72811904	85537890	8325	0.2217
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	1	85539127	85542620	8	-1.2076
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	1	85545680	95131622	6134	0.2471
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	1	95131681	95135155	9	1.0519
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	1	95135359	104159384	5615	0.2275
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	1	104163499	104259444	23	0.8183
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	1	104260032	144873327	10862	0.2472
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	1	144876673	146476526	383	-0.1459
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	1	146479430	147844790	687	0.2906
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	1	147929336	148789864	38	1.1068
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	1	148789983	149024808	19	0.2227
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	1	149036524	149202593	79	-1.1174
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	1	149202745	149644969	96	-0.3744
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	1	149645033	152761923	1695	0.2251
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	1	152761939	152768700	36	-0.4951
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	1	152773905	223020504	47456	0.2262
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	1	223022923	223023604	2	-3.2619
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	1	223023769	236656457	9136	0.2266
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	1	236657887	238002435	1172	0.6012
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	1	238003774	241423023	2727	0.179
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	1	241423404	245675778	2943	0.6017
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	1	245683675	248786246	2038	0.244
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	1	248789692	249224388	154	-0.3535
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	2	12784	3814425	2670	-0.4037
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	2	3814614	3814710	2	-2.9034
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	2	3814727	34691069	21395	-0.3403
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	2	34699315	34737163	47	0.4506
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	2	34737556	35975973	874	-0.3092
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	2	35977790	35987916	6	-2.3437
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	2	35987947	52754468	12141	-0.325
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	2	52754480	52781542	39	-2.6017
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	2	52787949	119935342	37023	-0.3289
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	2	119937085	126686491	4257	0.2392
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	2	126686746	140786639	8505	-0.3277
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	2	140789774	141049882	175	0.2804
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	2	141056308	146094331	3120	-0.3379
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	2	146095406	146095468	3	-1.9091
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	2	146095545	146862085	447	-0.3525
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	2	146864404	146866934	24	0.904
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	2	146877806	179013664	19671	-0.3115
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	2	179014350	241085582	38514	0.2416
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	2	241086298	242915552	807	0.6025
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	2	242917306	243089456	140	0.0174
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	3	60345	6317359	5585	0.2435
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	3	6319263	6335472	19	0.9986
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	3	6338436	68746164	42284	0.2314
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	3	68746259	68747413	14	0.9248
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	3	68748758	75568549	4939	0.2191
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	3	75572549	75586805	6	1.2458
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_C12_585236	3	75595181	98937784	11013	0.2216
