Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_G02_569118	1	61735	3130590	715	-0.0896
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_G02_569118	1	3135175	3141616	7	-1.5718
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_G02_569118	1	3142795	16147032	7670	-0.0432
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_G02_569118	1	16147063	16171036	26	0.5469
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_G02_569118	1	16176764	17005978	339	0.0468
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_G02_569118	1	17011450	17087292	40	-0.5185
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_G02_569118	1	17089349	17190004	19	0.2566
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_G02_569118	1	17190862	17258139	46	-0.9432
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_G02_569118	1	17258501	22328279	3362	-0.0357
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_G02_569118	1	22328518	22409009	45	0.4029
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_G02_569118	1	22409094	33764061	5871	-0.0299
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_G02_569118	1	33764401	33766706	2	-1.5171
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_G02_569118	1	33767228	35091674	995	-0.0519
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_G02_569118	1	35102654	35114268	21	0.7324
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_G02_569118	1	35115542	41744821	3573	-0.0349
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_G02_569118	1	41745770	41747410	3	-1.448
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_G02_569118	1	41749310	46236800	2599	-0.0283
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_G02_569118	1	46237086	46255004	15	0.5221
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_G02_569118	1	46256890	51240034	2795	-0.0128
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_G02_569118	1	51242170	51377859	61	0.3835
