Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	1	61735	356542	29	0.1791
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	1	404171	1510801	197	-0.3452
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	1	1627918	1672603	17	-1.2104
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	1	1687587	72750353	42768	-0.468
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	1	72756113	72763370	9	-1.6875
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	1	72768418	72811148	48	0.9207
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	1	72811904	81888456	5781	-0.4622
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	1	81888602	81888605	2	1.4638
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	1	81888667	106013376	15230	-0.4634
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	1	106019205	106022360	16	0.3251
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	1	106022375	112690326	4642	-0.4577
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	1	112695965	112696615	11	-1.8141
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	1	112696787	121355881	5194	-0.46
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	1	121436219	145382124	280	0.0443
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	1	145390114	148661875	886	0.3981
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	1	148662266	149024808	30	-0.2186
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	1	149036524	149243072	112	-1.7017
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	1	149243241	149739073	82	-0.459
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	1	149748542	152759678	1672	0.3498
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	1	152761923	152768700	37	-1.2729
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	1	152773905	158489601	3256	0.3402
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	1	158489633	158489777	5	-0.4686
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	1	158494693	158519825	52	0.231
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	1	158519929	158526584	8	0.7697
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	1	158527371	158959575	365	0.3553
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	1	158962039	158962796	2	-3.2319
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	1	158966864	169233974	7654	0.3623
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	1	169234529	169242401	7	1.2865
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	1	169254877	187715854	12223	0.3513
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	1	187717560	187721369	2	-1.4735
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	1	187724610	196739972	5983	0.3442
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	1	196740211	196741117	3	1.3637
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	1	196741281	196789082	41	0.3495
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	1	196789228	196812530	41	-0.0974
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	1	196815791	196905159	65	-0.574
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	1	196909645	241662139	30957	0.3491
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	1	241667202	242060269	327	-0.0433
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	1	242062845	246651547	3150	0.32
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	1	246657566	246739615	52	-0.0353
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	1	246740096	248163188	919	0.331
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	1	248165702	248171576	2	-2.403
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	1	248173453	248737447	294	0.4185
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	1	248749194	248809109	37	-0.3906
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	1	248809369	249224388	141	0.3416
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	2	12784	4205687	2990	0.0058
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	2	4213864	4223167	36	-0.4075
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	2	4223512	34691069	21083	0.0207
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	2	34699315	34737163	47	0.5833
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	2	34737556	52741737	13040	0.0296
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	2	52743925	52781542	41	0.4913
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	2	52787949	87128201	22001	0.0237
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	2	87129203	87137385	2	-1.7035
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	2	87161853	89596312	869	0.0188
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	2	89603924	91790449	208	-0.5944
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	2	91790700	110462496	8702	0.0242
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	2	110467473	110477250	2	1.5162
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	2	110501512	127852021	10303	0.0247
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	2	127857763	127857946	2	1.6511
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	2	127858646	129638478	1031	0.0296
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	2	129638502	129640297	13	-0.5001
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	2	129640315	225897363	58908	0.0248
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	2	225899032	243046394	10728	0.3636
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	2	243046560	243089456	12	0.1485
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	3	60345	6646543	5841	0.0274
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	3	6651128	6653332	23	-0.5947
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	3	6655078	20307790	9437	0.0368
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	3	20313125	20316083	3	-1.1585
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	3	20328081	26613201	4766	0.0198
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	3	26614974	26614984	7	-0.8203
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	3	26614985	65185849	25301	0.042
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	3	65188453	65210452	54	-0.5411
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	3	65216349	68746164	2422	0.044
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	3	68746259	68747413	14	1.2534
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	3	68748758	129766586	34732	0.0326
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	3	129775858	129806236	50	0.5229
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	3	129806924	162532950	20305	0.0376
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	3	162534730	162536583	2	-1.687
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	3	162536823	186698098	14737	0.0388
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	3	186700837	186708804	3	-1.1554
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	3	186710618	187595294	672	0.0398
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	3	187595378	187595713	2	1.5562
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	3	187595740	192877902	3832	0.0452
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	3	192877962	192886435	20	-0.8147
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	3	192886458	195285664	1484	0.0531
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	3	195285898	195446922	29	-0.9208
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	3	195455508	197896118	1192	0.044
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	4	12281	34626	19	-0.0791
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	4	34630	9456977	5218	-0.509
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	4	9461230	9479345	9	0.6587
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	4	9486087	10228817	551	-0.4759
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	4	10228880	10231498	22	-1.7921
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	4	10234214	34779054	16980	-0.4763
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	4	34786500	34824725	38	-1.0214
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	4	34829872	64707605	16590	-0.4721
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	4	64707754	64708258	6	-2.1834
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	4	64716431	69375160	2883	-0.4762
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	4	69375348	69484109	59	-0.7857
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	4	69485840	70120699	324	-0.4283
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	4	70120893	70232124	60	-0.1592
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	4	70236151	104745571	21031	-0.4625
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	4	104751630	104753601	8	0.4454
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	4	104753737	107894352	1757	-0.4483
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	4	107900940	107901015	2	-1.9788
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	4	107901087	108068413	117	-0.4501
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	4	108071519	108071888	4	1.1641
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	4	108073507	115173700	4425	-0.4591
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	4	115175323	115184322	28	0.5107
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	4	115184380	132688307	10301	-0.4572
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	4	132688493	150904846	10822	0.0258
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	4	150905374	150905959	2	-2.0466
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	4	150909060	155802548	2976	0.0372
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	4	155803005	155803078	3	1.3503
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	4	155803199	161874000	3918	0.0368
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	4	161880018	161884600	20	-1.1029
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	4	161884908	191027923	19206	0.0223
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	5	15532	12785262	10210	0.0079
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	5	12790869	12819313	7	0.3496
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	5	12819375	12838533	11	-1.0267
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	5	12849201	46251306	20563	0.0217
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	5	46271008	46273502	8	-1.1782
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	5	46278212	60982008	7546	0.0315
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	5	60982578	60982841	3	-1.1689
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	5	60984261	68829347	4864	0.0414
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	5	68846303	69118135	6	-1.0587
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	5	69233427	95235516	14512	0.0248
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D06_808716	5	95236415	95236467	2	-1.3486
