Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E05_781918	1	61735	625470	34	0.1021
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E05_781918	1	707099	17005776	8709	-0.4988
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E05_781918	1	17005978	17056457	37	0.2265
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E05_781918	1	17076467	17182437	22	-0.3241
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E05_781918	1	17190004	17276241	64	0.0558
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E05_781918	1	17277940	40803855	13329	-0.4897
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E05_781918	1	40808885	42822089	1228	0.9312
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E05_781918	1	42823076	44064046	766	0.4668
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E05_781918	1	44066424	46393755	1200	0.079
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E05_781918	1	46394552	46438264	28	0.4032
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E05_781918	1	46442398	61355397	9600	0.0967
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E05_781918	1	61355967	61356057	2	-1.1232
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E05_781918	1	61359395	72750353	7964	0.1073
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E05_781918	1	72756113	72763370	9	-3.2348
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E05_781918	1	72768418	72811148	48	1.2311
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E05_781918	1	72811904	85304587	8154	0.109
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E05_781918	1	85305197	89177945	2653	-0.4329
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E05_781918	1	89187607	95564908	4044	0.1114
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E05_781918	1	95567932	95568358	4	-0.9657
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E05_781918	1	95572369	102710749	4521	0.1081
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E05_781918	1	102718036	102803332	64	0.3246
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E05_781918	1	102810279	106013376	1604	0.1078
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E05_781918	1	106019205	106022375	17	0.805
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E05_781918	1	106024055	110221727	2657	0.1057
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E05_781918	1	110224384	110232974	16	0.7129
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E05_781918	1	110233037	110242953	17	1.7801
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E05_781918	1	110244998	117161264	4861	0.0981
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E05_781918	1	117165307	118054772	579	0.4876
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E05_781918	1	118058235	118252257	154	0.0645
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E05_781918	1	118253295	120693215	1481	0.4889
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E05_781918	1	120696009	150803027	1985	0.2372
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E05_781918	1	150808889	150809116	2	-1.4681
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E05_781918	1	150811005	152555706	967	0.195
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E05_781918	1	152555767	152586594	34	-1.5476
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E05_781918	1	152590494	153672247	833	0.1978
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E05_781918	1	153673674	153688056	6	0.9482
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E05_781918	1	153691490	160803735	4304	0.2031
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E05_781918	1	160803802	160804009	2	-0.941
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E05_781918	1	160807251	160845733	33	0.2021
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E05_781918	1	160845948	160851826	3	-0.4131
