Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	61735	229619	23	0.4285
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	229677	1650927	212	-0.0683
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	1652395	1672603	8	-1.1663
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	1687587	12845863	6283	0.0183
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	12852748	12983506	38	-0.6185
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	13159083	13187370	6	0.0934
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	13214448	13376042	7	-0.6512
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	13376489	16963723	2174	0.0456
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	16965789	17012785	30	0.3854
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	17016177	17036888	15	0.0276
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	17037097	17100877	20	0.3812
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	17109281	17190004	11	-0.0352
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	17190862	17262247	62	-0.4969
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	17276241	25583341	5263	0.0435
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	25593128	25662005	30	0.6538
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	25662212	35102654	4965	0.0195
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	35102670	35103036	5	-0.6855
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	35103142	35103510	4	-0.1988
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	35103827	35104491	10	-0.8995
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	35114268	39128601	2194	0.0178
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	39132430	39132433	4	0.8681
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	39132462	72746547	21645	0.0462
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	72746567	72811148	61	0.4409
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	72811904	76050844	1930	0.0482
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	76054763	76054854	2	-2.3855
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	76059509	104132359	18139	0.0529
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	104155643	104157336	6	-0.7906
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	104158309	104159384	3	-3.1213
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	104163499	104268222	27	-0.7396
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	104303403	104953883	361	0.063
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	104954544	104958118	3	-1.0503
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	104959158	105039720	50	0.0627
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	105045884	105055075	6	0.5813
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	105055174	106019205	499	0.0674
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	106019236	106022375	16	-1.8597
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	106024055	110227515	2667	0.051
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	110232974	110240178	17	-0.7145
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	110242953	111376220	840	0.0426
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	111377368	111388226	39	-0.5782
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	111392067	112063323	546	0.0109
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	112063791	112067804	2	1.386
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	112068174	112690326	531	0.0554
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	112695965	112697241	23	-0.3866
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	112697376	149243072	6493	0.0725
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	149243241	149248712	14	0.8647
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	149248727	152555795	1535	0.0482
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	152555884	152572493	15	0.5219
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	152572660	153672043	846	0.0533
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	153672247	153693248	9	0.6192
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	153695340	169216937	10707	0.0412
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	169233974	169241766	7	1.0425
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	169242401	178662668	6067	0.043
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	178665858	178671893	25	0.4332
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	178673348	187715854	6126	0.0528
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	187717560	187721369	2	-2.3205
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	187724610	196739972	5987	0.0455
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	196740211	196823317	88	0.4452
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	196823613	208440902	7425	0.0439
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	208445720	208456937	29	0.7202
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	208457709	225652884	11946	0.0444
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	225657275	225670243	15	-0.393
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	225670344	240391740	10587	0.048
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	240394015	240394124	5	-2.3339
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	240394139	243047556	2077	0.0384
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	243048740	243080547	54	-0.2927
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	243084657	248805339	3654	0.0437
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	248808557	248808864	2	-1.6498
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	1	248809109	249224388	141	-0.0366
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H08_730516	2	12784	4205687	2989	0.0549
