Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C03_781890	1	61735	72776	8	-0.4546
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C03_781890	1	82170	603590	25	0.3502
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C03_781890	1	625470	17195155	8802	-0.101
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C03_781890	1	17203497	17311823	79	-0.3914
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C03_781890	1	17314702	30737373	7681	-0.0935
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C03_781890	1	30738355	30741656	9	-1.0423
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C03_781890	1	30741950	35091674	2559	-0.1013
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C03_781890	1	35102654	35104491	20	-0.6472
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C03_781890	1	35114268	104159384	44013	-0.1064
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C03_781890	1	104163499	104303403	28	0.494
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C03_781890	1	104303501	107853096	2178	-0.1181
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C03_781890	1	107855013	107855180	2	-1.4695
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C03_781890	1	107858670	108291686	371	-0.1413
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C03_781890	1	108292637	108293899	2	-1.5807
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C03_781890	1	108294275	110232974	1056	-0.0937
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C03_781890	1	110233037	110244998	18	0.7656
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C03_781890	1	110246126	114831965	3309	-0.0967
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C03_781890	1	114833626	114833710	2	-1.4189
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C03_781890	1	114833802	149229843	5161	-0.0867
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C03_781890	1	149242663	149246030	10	0.4895
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C03_781890	1	149246275	149384897	35	0.1386
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C03_781890	1	149386959	149429206	8	-0.2328
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C03_781890	1	149436842	149617451	9	0.5694
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C03_781890	1	149617488	152555795	1491	-0.0572
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C03_781890	1	152555884	152590565	34	0.3048
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C03_781890	1	152590663	161478993	5475	-0.0678
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C03_781890	1	161479438	161648621	58	0.2187
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C03_781890	1	161650375	169216937	6019	-0.0707
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C03_781890	1	169233974	169241766	7	0.8854
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C03_781890	1	169242401	196727850	18216	-0.0602
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C03_781890	1	196731035	196732086	3	-1.3198
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C03_781890	1	196738623	248709616	35867	-0.0937
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C03_781890	1	248709670	248833965	51	0.2028
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C03_781890	1	248835926	249224388	133	-0.0908
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C03_781890	2	12784	4203580	2990	-0.1029
