Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	1	61735	62152	4	0.3803
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	1	62920	404171	26	-0.6186
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	1	534551	761368	18	0.376
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	1	761732	16149915	8358	-0.3447
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	1	16153497	16153925	6	-1.9426
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	1	16154201	16869363	304	-0.2959
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	1	16871278	16963269	25	-0.806
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	1	16963313	17190004	79	-0.2844
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	1	17190862	17261797	59	-0.8423
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	1	17261888	25583341	5269	-0.3251
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	1	25593128	25662005	30	-1.606
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	1	25662212	34656128	4626	-0.3321
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	1	34656179	34657303	5	-1.4066
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	1	34661652	72768916	24203	-0.3027
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	1	72768936	72811148	45	-1.053
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	1	72811904	104221531	20078	-0.2961
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	1	104221631	104225568	10	-1.3923
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	1	104239689	104303403	14	0.5747
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	1	104303501	106013376	917	-0.277
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	1	106019205	106022360	16	0.3621
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	1	106022375	110232974	2668	-0.2951
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	1	110233037	110235032	11	1.0769
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	1	110236932	144560365	7223	-0.299
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	1	144564584	152751237	3001	0.3232
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	1	152754630	152778558	50	0.8665
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	1	152778576	179895476	18335	0.3317
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	1	179895704	180207204	192	-0.8491
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	1	180208298	189384741	6092	0.3263
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	1	189386490	189494036	65	-1.0246
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	1	189497527	199107702	6337	0.323
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	1	199111363	199113011	8	-1.1777
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	1	199113840	217709890	12826	0.2046
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	1	217710533	217710560	2	-2.062
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	1	217719563	233387566	10400	0.2261
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	1	233388242	236441037	2135	-0.8703
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	1	236443701	243055819	5332	0.3164
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	1	243055852	243085556	44	-0.1161
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	1	243085660	249224388	3793	0.3079
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	2	12784	4205687	2991	0.005
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	2	4213864	4224019	42	-0.8282
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	2	4230062	6701295	2067	0.0011
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	2	6701345	7571970	770	-0.3587
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	2	7572430	34520473	18147	0.0426
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	2	34523978	34525580	2	-2.2525
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	2	34525967	52754468	13179	0.0539
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	2	52754480	52781542	39	-2.2493
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	2	52787949	82677538	19503	0.037
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	2	82679503	83090295	229	-0.2978
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	2	83090367	89497688	3128	0.0352
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	2	89500473	91864571	251	-0.4054
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	2	91865355	92305784	70	-0.0371
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	2	95327887	98118212	906	0.3015
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	2	98140747	98162189	9	-0.7623
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	2	98166878	108437186	6583	0.3182
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	2	108440138	108527340	13	0.8253
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	2	108534044	115530645	3556	0.3572
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	2	115530674	115530841	3	1.0479
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	2	115535914	146864583	19397	0.303
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	2	146865079	146866934	19	0.9526
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	2	146877806	158342209	6796	0.3322
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	2	158346266	158358120	9	-0.4489
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G12_730346	2	158361579	160755713	1521	0.3568
