Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C05_777032	1	61735	228706	18	-0.5875
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C05_777032	1	228729	813318	50	-0.0547
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C05_777032	1	818586	9326658	4587	-0.4206
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C05_777032	1	9327413	9331952	4	-2.3187
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C05_777032	1	9331973	16830820	4000	-0.3924
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C05_777032	1	16831863	17284920	176	-0.776
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C05_777032	1	17286210	18585302	957	-0.4183
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C05_777032	1	18585845	18601875	19	-3.8701
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C05_777032	1	18601910	25583341	4253	-0.3941
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C05_777032	1	25593128	25646689	25	-1.6646
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C05_777032	1	25646744	31315153	2854	-0.3976
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C05_777032	1	31315191	31315593	3	-2.4526
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C05_777032	1	31316029	57698001	15221	-0.3779
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C05_777032	1	57698117	57698370	2	-2.4972
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C05_777032	1	57700010	72763370	10674	-0.3601
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C05_777032	1	72768418	72811148	48	0.5295
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C05_777032	1	72811904	73600151	479	-0.3597
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C05_777032	1	73600593	74367148	475	-1.0591
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C05_777032	1	74371508	83829357	6122	-0.3772
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C05_777032	1	83829675	83829841	2	-2.074
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C05_777032	1	83829980	98689443	9573	-0.3663
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C05_777032	1	98689515	98690214	2	-4.4526
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C05_777032	1	98693218	104157336	3379	-0.3548
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C05_777032	1	104158309	104239689	18	-1.2563
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C05_777032	1	104239986	110224384	3599	-0.3584
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C05_777032	1	110224427	110251964	50	-0.6678
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C05_777032	1	110253130	112696087	1930	-0.3894
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C05_777032	1	112696193	112706194	32	0.1632
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C05_777032	1	112706198	116176037	2162	-0.3696
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C05_777032	1	116176717	117414514	875	0.1356
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C05_777032	1	117414780	120182137	1747	-0.3735
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C05_777032	1	120184881	145151728	587	0.0608
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C05_777032	1	145151959	145156462	11	0.9194
