Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	1	61735	229677	24	0.5
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	1	235670	4421072	1382	-0.5526
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	1	4422005	4423896	3	-2.1316
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	1	4424098	6959960	1846	-0.5144
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	1	6960927	7196879	163	-1.5553
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	1	7200322	17182437	5409	-0.4882
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	1	17190004	17225367	15	-0.9103
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	1	17225530	17235698	4	0.0093
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	1	17235852	17286210	50	-0.832
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	1	17286319	72768916	34130	-0.5013
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	1	72768936	72797412	27	-1.6236
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	1	72798594	104163787	20104	-0.5428
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	1	104178038	104303403	26	-0.966
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	1	104303501	106019205	920	-0.5446
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	1	106019236	106022375	16	-1.9135
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	1	106024055	106075424	46	-0.5384
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	1	106086886	106243672	134	0.0578
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	1	106243931	113372497	4934	-0.5218
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	1	113374846	113527814	94	0.0032
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	1	113533088	120668364	4540	-0.5125
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	1	120671582	148870937	1287	-0.0261
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	1	148893345	149242663	126	-0.7209
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	1	149242725	149834817	131	-0.2799
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	1	149835113	152555706	1420	0.0496
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	1	152555767	152586540	32	-1.5681
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	1	152586576	189022973	24614	0.0214
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	1	189027223	189031361	7	-0.8004
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	1	189032480	196731035	5166	-0.0294
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	1	196731610	196828938	105	0.3081
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	1	196831324	206173925	6036	0.0229
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	1	206174681	206175832	2	-1.0842
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	1	206178753	223020504	11743	0.0092
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	1	223022923	223023769	3	-1.0131
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	1	223026717	239092241	11230	0.0156
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	1	239093226	239096030	4	-0.9446
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	1	239097333	248737447	6770	0.0082
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	1	248749194	248809369	38	-0.4973
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	1	248818483	249224388	140	0.0475
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	2	12784	8129338	6306	-0.0174
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	2	8130885	8136618	8	-1.2038
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	2	8139924	34691069	17812	0.014
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	2	34699315	34737057	46	-1.8788
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	2	34737163	40580918	4299	0.0086
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	2	40581070	40581088	2	-1.0917
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	2	40583058	52754881	8758	0.0093
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	2	52758753	52781295	25	0.8207
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	2	52781326	58842603	4252	0.0076
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	2	58842930	58885575	28	-0.685
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	2	58887039	86937687	17685	0.001
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	2	86953070	86953854	2	1.8
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	2	86970406	98118212	2142	-0.0236
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	2	98140747	98161710	8	0.6824
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	2	98162189	114506342	9510	0.0112
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	2	114516494	114525983	13	-0.8619
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	2	114528877	132219998	10881	-0.0027
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	2	132221406	132226368	5	-0.9797
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	2	132226792	133038729	273	-0.0308
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	2	133046772	133115037	28	0.5454
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	2	133117260	146862085	8854	-0.0316
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	2	146864404	146866934	24	0.8197
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	2	146877806	243089456	59199	-0.0035
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	3	60345	16239063	12954	0.0095
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	3	16240556	16240629	2	-1.3407
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	3	16240643	45543225	19463	0.0011
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C06_781860	3	45545624	45547745	3	-1.0441
