Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B10_730316	1	61735	564621	32	0.4945
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B10_730316	1	603590	5245818	2149	-0.2126
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B10_730316	1	5246626	5247355	3	-1.6359
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B10_730316	1	5250497	16149915	6222	-0.1958
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B10_730316	1	16153497	16153925	6	0.5481
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B10_730316	1	16154201	17011778	354	-0.1693
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B10_730316	1	17011891	17276241	117	0.1598
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B10_730316	1	17277940	35091674	10255	-0.1916
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B10_730316	1	35102654	35104491	20	-0.5737
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B10_730316	1	35114268	62114006	16461	-0.1829
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B10_730316	1	62114181	62118187	3	-1.1983
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B10_730316	1	62119809	69051134	5108	-0.164
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B10_730316	1	69054410	69054605	3	-1.1438
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B10_730316	1	69055154	71242838	1333	-0.1192
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B10_730316	1	71243479	71246668	6	-1.1954
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B10_730316	1	71250754	72750353	905	-0.1723
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B10_730316	1	72756113	72763370	9	-0.664
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B10_730316	1	72768418	72811148	48	0.6645
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B10_730316	1	72811904	104163787	20065	-0.1674
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B10_730316	1	104178038	104268222	25	-0.5664
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B10_730316	1	104303403	106019205	921	-0.1764
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B10_730316	1	106019236	106022375	16	-0.6449
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B10_730316	1	106024055	110232974	2672	-0.1582
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B10_730316	1	110233037	110242953	17	1.0505
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B10_730316	1	110244998	144916995	7274	-0.1632
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B10_730316	1	144920927	144921857	2	-1.468
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B10_730316	1	144935489	152555527	2736	-0.1494
