Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	61735	712545	36	0.2619
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	718663	12859292	6491	-0.3138
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	12859399	12882985	23	0.1412
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	12883096	16828502	2161	-0.297
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	16830583	17005978	52	-0.0476
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	17011450	17276241	122	0.2358
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	17277940	33739240	9246	-0.2779
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	33740818	34048743	196	0.1077
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	34050672	36857467	1614	-0.3111
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	36859511	45756627	5192	0.1018
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	45757211	46137659	174	-0.2882
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	46138336	46295225	64	0.131
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	46297907	48745073	1488	-0.2395
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	48758316	48907886	64	0.1886
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	48910976	48916271	6	-0.3225
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	48920666	48941761	14	0.1589
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	48948077	48967856	7	-0.3069
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	48974357	49319167	291	0.1261
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	49320527	53762781	2105	-0.2774
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	53762944	53881254	90	0.1297
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	53881608	54042047	134	-0.3112
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	54042336	54045180	5	-1.0696
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	54045548	58447074	3373	-0.3006
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	58448131	58482029	40	0.1405
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	58482316	58483220	6	-0.4357
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	58484277	58755457	215	0.1363
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	58756566	64401947	3992	-0.2529
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	64404258	64663519	197	0.1051
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	64668566	65316137	515	-0.2721
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	65316227	66107743	632	0.1317
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	66114747	71797759	3859	-0.2598
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	71798385	71844108	25	0.1196
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	71845083	72768916	558	-0.2866
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	72768936	72811904	46	-0.9884
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	72812440	73209164	285	-0.3341
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	73221921	73748622	277	0.1334
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	73750928	75520600	1059	-0.2688
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	75522150	76121738	368	0.1555
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	76124064	77407847	1018	-0.3028
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	77408188	77408265	2	-1.4231
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	77409133	79962782	1466	-0.2504
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	79963071	83325913	2340	0.0887
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	83331812	84720604	885	-0.2434
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	84720870	84776025	45	0.1789
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	84776167	85436591	512	-0.233
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	85439821	85672341	143	0.1547
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	85672749	85967977	209	-0.225
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	85972024	86297572	214	0.1541
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	86301194	88252763	1293	-0.2458
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	88253549	88253880	2	-1.6561
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	88255522	91596338	2179	-0.2652
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	91599362	91851098	164	0.0917
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	91853970	92864194	638	-0.2994
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	92864555	92953478	55	0.0734
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	92954528	94077247	524	-0.2537
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	94081407	94282287	135	0.1142
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	94283093	94988944	461	-0.2632
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	94989777	95276667	341	0.1903
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	95280897	97777794	1579	-0.2467
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	97777854	98255344	268	0.0709
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	98263127	100181472	1205	-0.2712
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B08_730140	1	100182059	100190830	4	-1.1365
