Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	1	61735	228729	19	-0.5813
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	1	229075	1510801	207	-0.0179
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	1	1627918	1672603	17	-0.62
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	1	1687587	2061969	138	0.0216
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	1	2069681	2082814	9	-0.6877
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	1	2083329	8893082	4038	0.0047
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	1	8894974	8894989	2	-1.7962
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	1	8898626	25583341	9718	0.0243
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	1	25593128	25646986	28	0.6213
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	1	25661501	30732380	2397	0.0213
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	1	30734036	30741950	12	-0.5088
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	1	30745210	31621427	600	0.0108
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	1	31623667	31625346	2	-1.993
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	1	31625389	72768498	25785	0.0228
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	1	72768916	72811148	46	0.8907
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	1	72811904	104221531	20058	0.0165
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	1	104221631	104239689	11	-0.7424
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	1	104239986	110227515	3618	0.0311
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	1	110232974	110240178	17	0.7244
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	1	110242953	111377568	842	0.0177
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	1	111377570	111383225	23	-0.4413
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	1	111383334	112690326	1090	0.0048
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	1	112695965	112706205	36	0.5279
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	1	112706213	120112055	4717	0.0207
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	1	120114744	120149517	48	0.3451
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	1	120150683	144842558	461	0.0169
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	1	144849539	144849552	3	1.5732
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	1	144865627	148789848	1112	0.0199
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	1	148789864	149436842	184	-0.6247
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	1	149521840	152555527	1493	0.018
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	1	152555706	152586238	31	1.5359
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	1	152586278	174579072	14941	0.02
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	1	174592050	174747370	61	-0.6377
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	1	174755597	175638621	681	-0.0017
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	1	175639705	175640656	3	-1.0962
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	1	175642887	194368842	12505	0.0155
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	1	194374719	194374916	2	-1.7568
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	1	194377156	196783626	1561	0.0161
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	1	196788986	196801655	39	-0.2989
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	1	196801784	196802072	6	0.1821
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	1	196812507	196909645	69	-0.7312
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	1	196913797	243039768	31964	0.0143
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	1	243042267	243084657	61	-0.2697
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	1	243084694	249224388	3795	0.0113
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	2	12784	476836	292	-0.0077
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	2	477364	478095	3	-1.583
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	2	479375	1786522	863	-0.0339
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	2	1788006	1788623	2	-1.5642
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	2	1789404	3147136	1019	-0.017
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	2	3147861	3152466	6	-0.7816
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	2	3153038	4203580	802	-0.008
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F01_730218	2	4205687	4222008	30	-0.4439
